order_item_id,order_id,product_id,quantity,unit_price,discount_rate,line_total
OI0000014-1,O0000014,P00108,2,415.82,0,831.64
OI0000014-2,O0000014,P00136,3,24.95,0.05,71.11
OI0000014-3,O0000014,P00054,4,432.47,0.15,1470.4
OI0000015-1,O0000015,P00129,1,603.29,0,603.29
OI0000015-2,O0000015,P00071,2,499.85,0.05,949.72
OI0000016-1,O0000016,P00145,4,313.16,0.1,1127.38
OI0000016-2,O0000016,P00141,3,90.02,0,270.06
OI0000017-1,O0000017,P00172,3,359.05,0.05,1023.29
OI0000018-1,O0000018,P00142,1,398.88,0.1,358.99
OI0000019-1,O0000019,P00064,3,48.59,0,145.77
OI0000019-2,O0000019,P00200,2,630.23,0,1260.46
OI0000019-3,O0000019,P00067,2,142.7,0.05,271.13
OI0000020-1,O0000020,P00107,3,84.89,0,254.67
OI0000020-2,O0000020,P00191,4,95.23,0.1,342.83
OI0000020-3,O0000020,P00091,3,58.96,0.15,150.35
OI0000021-1,O0000021,P00148,4,585.16,0.1,2106.58
OI0000021-2,O0000021,P00004,4,76.59,0.15,260.41
OI0000021-3,O0000021,P00208,3,192.16,0.05,547.66
OI0000022-1,O0000022,P00114,1,572.11,0,572.11
OI0000023-1,O0000023,P00186,1,258.16,0,258.16
OI0000023-2,O0000023,P00044,2,364.31,0,728.62
OI0000023-3,O0000023,P00135,2,217.54,0.15,369.82
OI0000024-1,O0000024,P00075,3,549.38,0.1,1483.33
OI0000024-2,O0000024,P00200,2,630.23,0.05,1197.44
OI0000024-3,O0000024,P00008,2,275.55,0.1,495.99
OI0000025-1,O0000025,P00159,3,310.78,0,932.34
OI0000025-2,O0000025,P00131,2,558.94,0.1,1006.09
OI0000025-3,O0000025,P00136,3,24.95,0.1,67.36
OI0000025-4,O0000025,P00061,3,422.21,0.05,1203.3
OI0000025-5,O0000025,P00168,1,76.25,0.05,72.44
OI0000026-1,O0000026,P00047,4,520.8,0.1,1874.88
OI0000026-2,O0000026,P00104,2,305.95,0,611.9
OI0000026-3,O0000026,P00221,3,82.8,0.1,223.56
OI0000026-4,O0000026,P00166,4,152.36,0,609.44
OI0000026-5,O0000026,P00060,1,552.88,0,552.88
OI0000027-1,O0000027,P00118,3,431.83,0,1295.49
OI0000027-2,O0000027,P00143,3,222.67,0,668.01
OI0000027-3,O0000027,P00103,3,244.14,0,732.42
OI0000028-1,O0000028,P00088,1,318.05,0.15,270.34
OI0000028-2,O0000028,P00055,2,496.42,0.1,893.56
OI0000028-3,O0000028,P00060,4,552.88,0,2211.52
OI0000029-1,O0000029,P00222,4,36.14,0.1,130.1
OI0000029-2,O0000029,P00218,4,413.48,0.1,1488.53
OI0000030-1,O0000030,P00070,1,540.32,0.1,486.29
OI0000030-2,O0000030,P00075,2,549.38,0.1,988.88
OI0000030-3,O0000030,P00143,3,222.67,0,668.01
OI0000031-1,O0000031,P00158,2,157.69,0.1,283.84
OI0000032-1,O0000032,P00075,4,549.38,0.15,1867.89
OI0000032-2,O0000032,P00174,4,363.5,0,1454.0
OI0000032-3,O0000032,P00079,3,291.37,0,874.11
OI0000033-1,O0000033,P00197,3,422.25,0,1266.75
OI0000033-2,O0000033,P00045,3,754.87,0,2264.61
OI0000034-1,O0000034,P00186,3,258.16,0.05,735.76
OI0000035-1,O0000035,P00062,1,226.93,0.05,215.58
OI0000035-2,O0000035,P00141,4,90.02,0.1,324.07
OI0000036-1,O0000036,P00183,1,316.76,0,316.76
OI0000037-1,O0000037,P00041,3,176.8,0.15,450.84
OI0000037-2,O0000037,P00132,1,236.23,0.15,200.8
OI0000038-1,O0000038,P00179,1,562.25,0.1,506.03
OI0000039-1,O0000039,P00200,4,630.23,0.15,2142.78
OI0000039-2,O0000039,P00232,1,599.24,0.05,569.28
OI0000040-1,O0000040,P00194,2,230.27,0,460.54
OI0000041-1,O0000041,P00045,2,754.87,0,1509.74
OI0000041-2,O0000041,P00019,2,469.92,0.15,798.86
OI0000041-3,O0000041,P00015,1,389.15,0.15,330.78
OI0000041-4,O0000041,P00072,3,92.45,0.15,235.75
OI0000042-1,O0000042,P00115,1,30.25,0,30.25
OI0000043-1,O0000043,P00111,3,100.81,0.15,257.07
OI0000043-2,O0000043,P00029,1,274.26,0.15,233.12
OI0000043-3,O0000043,P00007,3,409.55,0.05,1167.22
OI0000043-4,O0000043,P00027,1,569.62,0,569.62
OI0000044-1,O0000044,P00049,2,232.37,0.15,395.03
OI0000044-2,O0000044,P00222,4,36.14,0,144.56
OI0000044-3,O0000044,P00042,1,353.74,0.15,300.68
OI0000044-4,O0000044,P00016,4,419.52,0.05,1594.18
OI0000044-5,O0000044,P00219,1,545.58,0.05,518.3
OI0000045-1,O0000045,P00085,1,220.54,0.15,187.46
OI0000045-2,O0000045,P00118,2,431.83,0.15,734.11
OI0000045-3,O0000045,P00063,4,263.0,0,1052.0
OI0000046-1,O0000046,P00170,2,454.68,0,909.36
OI0000047-1,O0000047,P00002,3,89.89,0,269.67
OI0000047-2,O0000047,P00202,3,77.45,0.1,209.12
OI0000047-3,O0000047,P00132,1,236.23,0.05,224.42
OI0000047-4,O0000047,P00201,3,328.29,0.05,935.63
OI0000047-5,O0000047,P00173,2,534.3,0.05,1015.17
OI0000048-1,O0000048,P00173,3,534.3,0.1,1442.61
OI0000048-2,O0000048,P00181,3,495.62,0.1,1338.17
OI0000049-1,O0000049,P00128,4,222.47,0.05,845.39
OI0000049-2,O0000049,P00211,2,392.42,0.1,706.36
OI0000050-1,O0000050,P00214,2,86.45,0.15,146.97
OI0000050-2,O0000050,P00019,2,469.92,0,939.84
OI0000050-3,O0000050,P00079,1,291.37,0,291.37
OI0000050-4,O0000050,P00149,2,579.48,0.15,985.12
OI0000051-1,O0000051,P00170,2,454.68,0,909.36
OI0000051-2,O0000051,P00157,3,511.44,0.05,1457.6
OI0000051-3,O0000051,P00164,2,108.9,0,217.8
OI0000051-4,O0000051,P00230,4,464.16,0.1,1670.98
OI0000052-1,O0000052,P00112,3,104.66,0.15,266.88
OI0000052-2,O0000052,P00095,4,432.18,0.15,1469.41
OI0000052-3,O0000052,P00033,3,333.15,0.1,899.5
OI0000052-4,O0000052,P00007,4,409.55,0.1,1474.38
OI0000052-5,O0000052,P00204,2,459.04,0,918.08
OI0000052-6,O0000052,P00047,3,520.8,0,1562.4
OI0000053-1,O0000053,P00063,1,263.0,0,263.0
OI0000053-2,O0000053,P00046,4,338.54,0.15,1151.04
OI0000053-3,O0000053,P00028,1,182.42,0.1,164.18
OI0000053-4,O0000053,P00191,2,95.23,0,190.46
OI0000053-5,O0000053,P00161,1,310.62,0,310.62
OI0000054-1,O0000054,P00069,2,275.78,0,551.56
OI0000055-1,O0000055,P00063,4,263.0,0,1052.0
OI0000055-2,O0000055,P00205,4,141.37,0,565.48
OI0000056-1,O0000056,P00098,4,78.31,0,313.24
OI0000057-1,O0000057,P00003,2,232.09,0.15,394.55
OI0000058-1,O0000058,P00154,2,670.02,0.05,1273.04
OI0000058-2,O0000058,P00164,3,108.9,0,326.7
OI0000059-1,O0000059,P00206,2,417.71,0.1,751.88
OI0000059-2,O0000059,P00173,3,534.3,0,1602.9
OI0000060-1,O0000060,P00069,2,275.78,0.1,496.4
OI0000060-2,O0000060,P00208,1,192.16,0,192.16
OI0000060-3,O0000060,P00021,4,441.58,0.1,1589.69
OI0000060-4,O0000060,P00063,1,263.0,0.05,249.85
OI0000061-1,O0000061,P00135,4,217.54,0.05,826.65
OI0000061-2,O0000061,P00215,1,105.44,0,105.44
OI0000061-3,O0000061,P00212,1,140.61,0.15,119.52
OI0000062-1,O0000062,P00205,2,141.37,0,282.74
OI0000063-1,O0000063,P00069,3,275.78,0,827.34
OI0000063-2,O0000063,P00029,2,274.26,0.15,466.24
OI0000064-1,O0000064,P00115,2,30.25,0,60.5
OI0000064-2,O0000064,P00065,4,270.78,0,1083.12
OI0000065-1,O0000065,P00038,3,434.73,0,1304.19
OI0000065-2,O0000065,P00006,1,398.0,0,398.0
OI0000066-1,O0000066,P00005,3,132.26,0.1,357.1
OI0000067-1,O0000067,P00082,3,489.41,0.05,1394.82
OI0000068-1,O0000068,P00223,3,310.28,0.05,884.3
OI0000068-2,O0000068,P00181,1,495.62,0.05,470.84
OI0000068-3,O0000068,P00042,3,353.74,0,1061.22
OI0000069-1,O0000069,P00152,1,258.82,0.15,220.0
OI0000069-2,O0000069,P00175,1,327.8,0.15,278.63
OI0000069-3,O0000069,P00231,3,288.32,0,864.96
OI0000069-4,O0000069,P00205,4,141.37,0,565.48
OI0000070-1,O0000070,P00004,3,76.59,0.05,218.28
OI0000071-1,O0000071,P00217,3,58.31,0.15,148.69
OI0000071-2,O0000071,P00114,4,572.11,0,2288.44
OI0000072-1,O0000072,P00191,4,95.23,0.1,342.83
OI0000072-2,O0000072,P00136,2,24.95,0.15,42.41
OI0000072-3,O0000072,P00025,1,564.8,0,564.8
OI0000072-4,O0000072,P00178,4,540.49,0.1,1945.76
OI0000072-5,O0000072,P00220,2,266.01,0.15,452.22
OI0000073-1,O0000073,P00199,2,641.07,0,1282.14
OI0000074-1,O0000074,P00140,4,259.76,0.1,935.14
OI0000075-1,O0000075,P00236,3,545.04,0,1635.12
OI0000075-2,O0000075,P00195,2,341.87,0,683.74
OI0000076-1,O0000076,P00147,3,153.52,0.1,414.5
OI0000076-2,O0000076,P00217,2,58.31,0,116.62
OI0000076-3,O0000076,P00113,3,603.62,0.15,1539.23
OI0000076-4,O0000076,P00053,4,366.73,0,1466.92
OI0000076-5,O0000076,P00067,3,142.7,0,428.1
OI0000077-1,O0000077,P00098,3,78.31,0,234.93
OI0000077-2,O0000077,P00188,4,159.06,0,636.24
OI0000077-3,O0000077,P00041,2,176.8,0.1,318.24
OI0000077-4,O0000077,P00123,4,127.18,0,508.72
OI0000077-5,O0000077,P00151,3,497.93,0,1493.79
OI0000078-1,O0000078,P00018,3,206.42,0.15,526.37
OI0000079-1,O0000079,P00134,3,154.54,0.1,417.26
OI0000079-2,O0000079,P00230,3,464.16,0.05,1322.86
OI0000079-3,O0000079,P00177,3,353.87,0.1,955.45
OI0000079-4,O0000079,P00088,3,318.05,0,954.15
OI0000080-1,O0000080,P00035,3,409.99,0.15,1045.47
OI0000080-2,O0000080,P00175,4,327.8,0,1311.2
OI0000080-3,O0000080,P00111,4,100.81,0,403.24
OI0000081-1,O0000081,P00208,1,192.16,0,192.16
OI0000081-2,O0000081,P00054,1,432.47,0.05,410.85
OI0000082-1,O0000082,P00134,1,154.54,0.1,139.09
OI0000083-1,O0000083,P00232,2,599.24,0,1198.48
OI0000084-1,O0000084,P00216,3,133.34,0.15,340.02
OI0000085-1,O0000085,P00123,3,127.18,0.15,324.31
OI0000086-1,O0000086,P00077,2,420.44,0,840.88
OI0000086-2,O0000086,P00146,2,274.56,0.05,521.66
OI0000087-1,O0000087,P00012,1,593.99,0.1,534.59
OI0000087-2,O0000087,P00139,2,365.53,0,731.06
OI0000087-3,O0000087,P00217,2,58.31,0.1,104.96
OI0000088-1,O0000088,P00210,2,95.17,0,190.34
OI0000089-1,O0000089,P00009,3,79.4,0,238.2
OI0000089-2,O0000089,P00166,3,152.36,0,457.08
OI0000089-3,O0000089,P00138,3,291.59,0.15,743.55
OI0000089-4,O0000089,P00114,3,572.11,0,1716.33
OI0000089-5,O0000089,P00161,1,310.62,0,310.62
OI0000090-1,O0000090,P00040,4,563.92,0.05,2142.9
OI0000090-2,O0000090,P00229,3,584.2,0.1,1577.34
OI0000090-3,O0000090,P00197,2,422.25,0,844.5
OI0000090-4,O0000090,P00148,3,585.16,0,1755.48
OI0000090-5,O0000090,P00126,1,180.97,0.15,153.82
OI0000091-1,O0000091,P00146,4,274.56,0.05,1043.33
OI0000092-1,O0000092,P00190,1,243.09,0,243.09
OI0000092-2,O0000092,P00120,2,64.28,0.1,115.7
OI0000093-1,O0000093,P00162,1,436.66,0,436.66
OI0000094-1,O0000094,P00149,1,579.48,0.15,492.56
OI0000094-2,O0000094,P00204,4,459.04,0.05,1744.35
OI0000094-3,O0000094,P00038,4,434.73,0,1738.92
OI0000095-1,O0000095,P00067,4,142.7,0,570.8
OI0000096-1,O0000096,P00221,2,82.8,0.05,157.32
OI0000097-1,O0000097,P00037,2,187.35,0,374.7
OI0000097-2,O0000097,P00049,2,232.37,0.15,395.03
OI0000097-3,O0000097,P00019,3,469.92,0.1,1268.78
OI0000097-4,O0000097,P00154,1,670.02,0.1,603.02
OI0000097-5,O0000097,P00043,2,46.94,0,93.88
OI0000098-1,O0000098,P00061,1,422.21,0,422.21
OI0000098-2,O0000098,P00097,3,344.74,0,1034.22
OI0000098-3,O0000098,P00116,2,67.53,0,135.06
OI0000099-1,O0000099,P00181,3,495.62,0,1486.86
OI0000100-1,O0000100,P00085,3,220.54,0.05,628.54
OI0000100-2,O0000100,P00185,3,553.09,0.1,1493.34
OI0000100-3,O0000100,P00071,3,499.85,0,1499.55
OI0000100-4,O0000100,P00025,4,564.8,0.15,1920.32
OI0000101-1,O0000101,P00166,2,152.36,0.05,289.48
OI0000101-2,O0000101,P00107,2,84.89,0.1,152.8
OI0000102-1,O0000102,P00192,1,451.44,0,451.44
OI0000102-2,O0000102,P00061,2,422.21,0.1,759.98
OI0000102-3,O0000102,P00005,3,132.26,0.15,337.26
OI0000103-1,O0000103,P00124,2,384.42,0.05,730.4
OI0000103-2,O0000103,P00164,1,108.9,0.05,103.45
OI0000104-1,O0000104,P00076,4,487.81,0.05,1853.68
OI0000104-2,O0000104,P00068,2,228.52,0,457.04
OI0000105-1,O0000105,P00177,4,353.87,0,1415.48
OI0000106-1,O0000106,P00222,1,36.14,0.15,30.72
OI0000107-1,O0000107,P00104,3,305.95,0.1,826.06
OI0000107-2,O0000107,P00176,2,662.84,0,1325.68
OI0000107-3,O0000107,P00109,4,309.48,0.1,1114.13
OI0000107-4,O0000107,P00112,4,104.66,0.15,355.84
OI0000108-1,O0000108,P00230,3,464.16,0.15,1183.61
OI0000108-2,O0000108,P00056,2,236.38,0.1,425.48
OI0000109-1,O0000109,P00030,4,508.26,0.05,1931.39
OI0000110-1,O0000110,P00105,4,295.01,0,1180.04
OI0000111-1,O0000111,P00058,3,311.57,0,934.71
OI0000111-2,O0000111,P00064,1,48.59,0.15,41.3
OI0000111-3,O0000111,P00146,2,274.56,0,549.12
OI0000111-4,O0000111,P00066,4,567.32,0,2269.28
OI0000112-1,O0000112,P00211,4,392.42,0,1569.68
OI0000112-2,O0000112,P00056,4,236.38,0,945.52
OI0000112-3,O0000112,P00229,4,584.2,0,2336.8
OI0000112-4,O0000112,P00092,3,326.92,0.05,931.72
OI0000112-5,O0000112,P00013,1,398.48,0.05,378.56
OI0000113-1,O0000113,P00054,1,432.47,0,432.47
OI0000113-2,O0000113,P00098,1,78.31,0.05,74.39
OI0000114-1,O0000114,P00168,4,76.25,0,305.0
OI0000114-2,O0000114,P00086,1,62.83,0,62.83
OI0000114-3,O0000114,P00034,2,303.99,0,607.98
OI0000115-1,O0000115,P00193,2,347.75,0.05,660.73
OI0000116-1,O0000116,P00107,1,84.89,0.1,76.4
OI0000116-2,O0000116,P00138,4,291.59,0.15,991.41
OI0000116-3,O0000116,P00079,4,291.37,0.05,1107.21
OI0000117-1,O0000117,P00223,2,310.28,0,620.56
OI0000117-2,O0000117,P00066,3,567.32,0,1701.96
OI0000117-3,O0000117,P00086,3,62.83,0.05,179.07
OI0000117-4,O0000117,P00039,4,688.69,0,2754.76
OI0000117-5,O0000117,P00143,3,222.67,0.1,601.21
OI0000118-1,O0000118,P00093,2,211.16,0.1,380.09
OI0000119-1,O0000119,P00046,3,338.54,0,1015.62
OI0000119-2,O0000119,P00041,1,176.8,0,176.8
OI0000119-3,O0000119,P00021,1,441.58,0.1,397.42
OI0000119-4,O0000119,P00176,4,662.84,0.15,2253.66
OI0000120-1,O0000120,P00022,4,156.69,0.05,595.42
OI0000121-1,O0000121,P00055,1,496.42,0.05,471.6
OI0000121-2,O0000121,P00124,1,384.42,0,384.42
OI0000121-3,O0000121,P00042,4,353.74,0.1,1273.46
OI0000122-1,O0000122,P00027,2,569.62,0.1,1025.32
OI0000122-2,O0000122,P00118,4,431.83,0.15,1468.22
OI0000122-3,O0000122,P00140,4,259.76,0,1039.04
OI0000122-4,O0000122,P00186,4,258.16,0.15,877.74
OI0000123-1,O0000123,P00039,2,688.69,0.15,1170.77
OI0000123-2,O0000123,P00194,3,230.27,0.05,656.27
OI0000124-1,O0000124,P00176,3,662.84,0,1988.52
OI0000124-2,O0000124,P00231,1,288.32,0.05,273.9
OI0000125-1,O0000125,P00134,1,154.54,0,154.54
OI0000126-1,O0000126,P00131,4,558.94,0.1,2012.18
OI0000127-1,O0000127,P00154,2,670.02,0.05,1273.04
OI0000127-2,O0000127,P00094,4,513.66,0,2054.64
OI0000128-1,O0000128,P00046,3,338.54,0.1,914.06
OI0000128-2,O0000128,P00126,1,180.97,0,180.97
OI0000128-3,O0000128,P00182,3,268.87,0.1,725.95
OI0000129-1,O0000129,P00119,3,352.53,0.1,951.83
OI0000130-1,O0000130,P00053,4,366.73,0.15,1246.88
OI0000130-2,O0000130,P00027,4,569.62,0,2278.48
OI0000131-1,O0000131,P00042,1,353.74,0.1,318.37
OI0000131-2,O0000131,P00019,1,469.92,0,469.92
OI0000131-3,O0000131,P00021,1,441.58,0.15,375.34
OI0000131-4,O0000131,P00207,2,347.97,0.1,626.35
OI0000132-1,O0000132,P00066,1,567.32,0,567.32
OI0000133-1,O0000133,P00160,4,455.76,0,1823.04
OI0000133-2,O0000133,P00224,4,36.75,0.15,124.95
OI0000133-3,O0000133,P00219,3,545.58,0,1636.74
OI0000133-4,O0000133,P00129,2,603.29,0,1206.58
OI0000133-5,O0000133,P00161,1,310.62,0,310.62
OI0000134-1,O0000134,P00131,3,558.94,0.1,1509.14
OI0000135-1,O0000135,P00145,3,313.16,0,939.48
OI0000135-2,O0000135,P00202,4,77.45,0.15,263.33
OI0000136-1,O0000136,P00184,2,308.0,0.15,523.6
OI0000137-1,O0000137,P00201,1,328.29,0.05,311.88
OI0000138-1,O0000138,P00165,4,264.33,0.15,898.72
OI0000138-2,O0000138,P00175,1,327.8,0.05,311.41
OI0000138-3,O0000138,P00097,4,344.74,0.15,1172.12
OI0000138-4,O0000138,P00079,3,291.37,0.05,830.4
OI0000139-1,O0000139,P00080,1,353.31,0,353.31
OI0000139-2,O0000139,P00170,4,454.68,0,1818.72
OI0000139-3,O0000139,P00139,2,365.53,0.1,657.95
OI0000140-1,O0000140,P00024,1,387.57,0.1,348.81
OI0000140-2,O0000140,P00075,4,549.38,0,2197.52
OI0000141-1,O0000141,P00096,2,386.0,0.1,694.8
OI0000142-1,O0000142,P00027,4,569.62,0,2278.48
OI0000142-2,O0000142,P00200,1,630.23,0,630.23
OI0000142-3,O0000142,P00003,4,232.09,0.1,835.52
OI0000142-4,O0000142,P00141,1,90.02,0,90.02
OI0000142-5,O0000142,P00099,1,545.66,0.05,518.38
OI0000143-1,O0000143,P00196,1,128.28,0,128.28
OI0000143-2,O0000143,P00038,3,434.73,0,1304.19
OI0000144-1,O0000144,P00077,2,420.44,0.05,798.84
OI0000145-1,O0000145,P00215,1,105.44,0,105.44
OI0000145-2,O0000145,P00012,4,593.99,0.05,2257.16
OI0000146-1,O0000146,P00188,3,159.06,0.15,405.6
OI0000146-2,O0000146,P00101,3,210.51,0.05,599.95
OI0000147-1,O0000147,P00214,4,86.45,0.05,328.51
OI0000148-1,O0000148,P00182,3,268.87,0,806.61
OI0000149-1,O0000149,P00160,4,455.76,0,1823.04
OI0000149-2,O0000149,P00151,2,497.93,0,995.86
OI0000149-3,O0000149,P00031,3,587.52,0,1762.56
OI0000149-4,O0000149,P00110,3,347.56,0.05,990.55
OI0000150-1,O0000150,P00008,3,275.55,0,826.65
OI0000150-2,O0000150,P00122,1,566.01,0,566.01
OI0000150-3,O0000150,P00229,3,584.2,0,1752.6
OI0000151-1,O0000151,P00180,3,580.5,0.15,1480.27
OI0000151-2,O0000151,P00074,3,220.55,0.15,562.4
OI0000152-1,O0000152,P00175,3,327.8,0,983.4
OI0000152-2,O0000152,P00057,1,94.36,0.05,89.64
OI0000152-3,O0000152,P00204,4,459.04,0,1836.16
OI0000152-4,O0000152,P00238,3,295.8,0,887.4
OI0000153-1,O0000153,P00198,4,149.31,0,597.24
OI0000154-1,O0000154,P00099,2,545.66,0,1091.32
OI0000154-2,O0000154,P00093,2,211.16,0,422.32
OI0000154-3,O0000154,P00062,1,226.93,0,226.93
OI0000154-4,O0000154,P00181,4,495.62,0.15,1685.11
OI0000154-5,O0000154,P00235,4,123.18,0,492.72
OI0000155-1,O0000155,P00087,3,295.38,0,886.14
OI0000155-2,O0000155,P00201,3,328.29,0.1,886.38
OI0000155-3,O0000155,P00027,1,569.62,0.1,512.66
OI0000156-1,O0000156,P00107,4,84.89,0,339.56
OI0000157-1,O0000157,P00028,3,182.42,0,547.26
OI0000157-2,O0000157,P00111,4,100.81,0,403.24
OI0000157-3,O0000157,P00118,4,431.83,0.15,1468.22
OI0000158-1,O0000158,P00121,2,126.69,0.05,240.71
OI0000159-1,O0000159,P00228,1,458.55,0,458.55
OI0000159-2,O0000159,P00208,2,192.16,0.15,326.67
OI0000159-3,O0000159,P00184,2,308.0,0.15,523.6
OI0000159-4,O0000159,P00057,1,94.36,0.05,89.64
OI0000160-1,O0000160,P00115,4,30.25,0.1,108.9
OI0000160-2,O0000160,P00140,3,259.76,0.15,662.39
OI0000161-1,O0000161,P00068,4,228.52,0.05,868.38
OI0000162-1,O0000162,P00131,4,558.94,0,2235.76
OI0000163-1,O0000163,P00037,4,187.35,0,749.4
OI0000163-2,O0000163,P00010,1,59.15,0,59.15
OI0000163-3,O0000163,P00185,4,553.09,0.1,1991.12
OI0000163-4,O0000163,P00168,1,76.25,0,76.25
OI0000164-1,O0000164,P00105,3,295.01,0.1,796.53
OI0000164-2,O0000164,P00210,1,95.17,0,95.17
OI0000165-1,O0000165,P00085,4,220.54,0,882.16
OI0000166-1,O0000166,P00132,1,236.23,0.15,200.8
OI0000166-2,O0000166,P00236,2,545.04,0.15,926.57
OI0000167-1,O0000167,P00157,2,511.44,0.05,971.74
OI0000167-2,O0000167,P00147,3,153.52,0,460.56
OI0000168-1,O0000168,P00205,1,141.37,0.15,120.16
OI0000169-1,O0000169,P00079,2,291.37,0,582.74
OI0000169-2,O0000169,P00006,1,398.0,0,398.0
OI0000170-1,O0000170,P00215,4,105.44,0,421.76
OI0000171-1,O0000171,P00152,3,258.82,0,776.46
OI0000171-2,O0000171,P00193,2,347.75,0.15,591.17
OI0000172-1,O0000172,P00202,1,77.45,0,77.45
OI0000172-2,O0000172,P00142,1,398.88,0,398.88
OI0000172-3,O0000172,P00105,2,295.01,0,590.02
OI0000173-1,O0000173,P00100,3,436.62,0,1309.86
OI0000173-2,O0000173,P00060,3,552.88,0.1,1492.78
OI0000173-3,O0000173,P00005,1,132.26,0,132.26
OI0000173-4,O0000173,P00118,3,431.83,0,1295.49
OI0000174-1,O0000174,P00218,3,413.48,0,1240.44
OI0000174-2,O0000174,P00024,1,387.57,0,387.57
OI0000174-3,O0000174,P00064,1,48.59,0,48.59
OI0000174-4,O0000174,P00196,3,128.28,0.1,346.36
OI0000174-5,O0000174,P00020,4,439.84,0,1759.36
OI0000174-6,O0000174,P00035,3,409.99,0,1229.97
OI0000175-1,O0000175,P00111,1,100.81,0,100.81
OI0000176-1,O0000176,P00067,2,142.7,0,285.4
OI0000176-2,O0000176,P00008,2,275.55,0.05,523.54
OI0000176-3,O0000176,P00221,4,82.8,0,331.2
OI0000176-4,O0000176,P00196,2,128.28,0,256.56
OI0000177-1,O0000177,P00179,2,562.25,0,1124.5
OI0000177-2,O0000177,P00181,3,495.62,0.1,1338.17
OI0000178-1,O0000178,P00228,4,458.55,0,1834.2
OI0000179-1,O0000179,P00193,3,347.75,0,1043.25
OI0000179-2,O0000179,P00217,4,58.31,0,233.24
OI0000180-1,O0000180,P00168,2,76.25,0,152.5
OI0000180-2,O0000180,P00217,4,58.31,0.1,209.92
OI0000181-1,O0000181,P00092,3,326.92,0.05,931.72
OI0000181-2,O0000181,P00079,1,291.37,0,291.37
OI0000181-3,O0000181,P00214,1,86.45,0,86.45
OI0000182-1,O0000182,P00224,1,36.75,0.1,33.08
OI0000183-1,O0000183,P00077,3,420.44,0,1261.32
OI0000183-2,O0000183,P00186,4,258.16,0.15,877.74
OI0000183-3,O0000183,P00066,2,567.32,0,1134.64
OI0000183-4,O0000183,P00063,4,263.0,0.1,946.8
OI0000183-5,O0000183,P00159,2,310.78,0,621.56
OI0000184-1,O0000184,P00067,4,142.7,0,570.8
OI0000184-2,O0000184,P00055,2,496.42,0,992.84
OI0000185-1,O0000185,P00144,2,392.62,0.05,745.98
OI0000185-2,O0000185,P00238,3,295.8,0.1,798.66
OI0000186-1,O0000186,P00033,3,333.15,0.05,949.48
OI0000186-2,O0000186,P00233,1,334.8,0.15,284.58
OI0000186-3,O0000186,P00191,2,95.23,0,190.46
OI0000186-4,O0000186,P00080,3,353.31,0.15,900.94
OI0000186-5,O0000186,P00068,3,228.52,0.1,617.0
OI0000187-1,O0000187,P00229,1,584.2,0,584.2
OI0000187-2,O0000187,P00161,2,310.62,0,621.24
OI0000188-1,O0000188,P00194,2,230.27,0.15,391.46
OI0000188-2,O0000188,P00238,3,295.8,0,887.4
OI0000189-1,O0000189,P00032,4,158.94,0,635.76
OI0000189-2,O0000189,P00042,1,353.74,0.05,336.05
