inventory_id,product_id,warehouse_id,on_hand,reserved,available,reorder_point,last_stock_count,qty_on_order,reorder_status
INV00040,P00019,WH-AVL,250,3,247,44,2026-02-27,0,Not Required
INV00041,P00019,WH-GVL,445,57,388,92,2026-04-09,0,Not Required
INV00042,P00020,WH-CLT,412,11,401,115,2026-03-22,0,Not Required
INV00043,P00020,WH-HKY,43,41,2,71,2026-04-27,58,On Order
INV00044,P00021,WH-GVL,180,22,158,27,2026-05-31,0,Not Required
INV00045,P00021,WH-HKY,123,29,94,79,2026-01-30,0,Not Required
INV00046,P00022,WH-GVL,123,27,96,39,2026-02-07,0,Not Required
INV00047,P00022,WH-CLT,462,0,462,17,2026-04-17,0,Not Required
INV00048,P00023,WH-GVL,223,38,185,71,2026-04-03,0,Not Required
INV00049,P00024,WH-AVL,288,78,210,46,2026-02-20,0,Not Required
INV00050,P00024,WH-CLT,440,43,397,54,2026-06-10,0,Not Required
INV00051,P00025,WH-HKY,298,64,234,108,2026-03-28,0,Not Required
INV00052,P00025,WH-AVL,364,38,326,90,2026-02-16,0,Not Required
INV00053,P00026,WH-GVL,257,79,178,44,2026-06-03,0,Not Required
INV00054,P00026,WH-HKY,399,34,365,58,2026-05-20,0,Not Required
INV00055,P00027,WH-HKY,260,73,187,52,2026-04-12,0,Not Required
INV00056,P00027,WH-AVL,256,32,224,84,2026-01-10,0,Not Required
INV00057,P00027,WH-CLT,286,63,223,97,2026-04-03,0,Not Required
INV00058,P00028,WH-GVL,97,49,48,47,2026-05-05,0,Not Required
INV00059,P00028,WH-HKY,244,35,209,109,2026-02-16,0,Not Required
INV00060,P00029,WH-AVL,194,60,134,74,2026-02-14,0,Not Required
INV00061,P00029,WH-CLT,346,50,296,97,2026-01-13,0,Not Required
INV00062,P00030,WH-CLT,123,25,98,103,2026-06-06,187,On Order
INV00063,P00030,WH-AVL,57,31,26,91,2026-03-11,104,On Order
INV00064,P00030,WH-HKY,422,70,352,20,2026-01-02,0,Not Required
INV00065,P00031,WH-AVL,139,15,124,19,2026-04-18,0,Not Required
INV00066,P00031,WH-HKY,76,47,29,64,2026-03-29,189,On Order
INV00067,P00032,WH-HKY,8,2,6,107,2026-04-26,74,On Order
INV00068,P00033,WH-HKY,437,47,390,87,2026-04-08,0,Not Required
INV00069,P00033,WH-CLT,231,52,179,113,2026-02-12,0,Not Required
INV00070,P00034,WH-GVL,285,39,246,53,2026-05-14,0,Not Required
INV00071,P00034,WH-HKY,24,12,12,21,2026-03-22,91,On Order
INV00072,P00034,WH-AVL,215,55,160,96,2026-02-28,0,Not Required
INV00073,P00035,WH-HKY,71,41,30,79,2026-06-07,123,On Order
INV00074,P00035,WH-AVL,122,78,44,34,2026-02-21,0,Not Required
INV00075,P00035,WH-CLT,487,38,449,81,2026-05-20,0,Not Required
INV00076,P00036,WH-AVL,459,68,391,38,2026-01-07,0,Not Required
INV00077,P00037,WH-HKY,401,40,361,78,2026-04-07,0,Not Required
INV00078,P00038,WH-AVL,456,59,397,117,2026-05-08,0,Not Required
INV00079,P00038,WH-CLT,44,27,17,62,2026-01-04,79,On Order
INV00080,P00039,WH-AVL,144,14,130,110,2026-04-20,0,Not Required
INV00081,P00039,WH-GVL,252,73,179,29,2026-03-20,0,Not Required
INV00082,P00039,WH-CLT,247,44,203,73,2026-04-08,0,Not Required
INV00083,P00040,WH-CLT,221,29,192,115,2026-05-23,0,Not Required
INV00084,P00040,WH-HKY,460,49,411,18,2026-01-18,0,Not Required
INV00085,P00040,WH-AVL,384,33,351,24,2026-05-08,0,Not Required
INV00086,P00041,WH-CLT,13,6,7,27,2026-01-01,91,On Order
INV00087,P00041,WH-AVL,457,58,399,76,2026-05-22,0,Not Required
INV00088,P00041,WH-GVL,122,45,77,20,2026-03-25,0,Not Required
INV00089,P00042,WH-AVL,208,43,165,26,2026-04-18,0,Not Required
INV00090,P00042,WH-GVL,381,51,330,110,2026-04-12,0,Not Required
INV00091,P00043,WH-GVL,307,16,291,20,2026-04-10,0,Not Required
INV00092,P00043,WH-AVL,173,48,125,20,2026-03-10,0,Not Required
INV00093,P00044,WH-CLT,11,0,11,105,2026-01-31,197,On Order
INV00094,P00044,WH-GVL,406,37,369,50,2026-05-07,0,Not Required
INV00095,P00045,WH-GVL,299,13,286,17,2026-02-18,0,Not Required
INV00096,P00045,WH-AVL,156,3,153,75,2026-05-07,0,Not Required
INV00097,P00045,WH-CLT,24,9,15,25,2026-01-23,167,On Order
INV00098,P00046,WH-CLT,99,41,58,57,2026-02-22,0,Not Required
INV00099,P00047,WH-CLT,329,46,283,80,2026-05-05,0,Not Required
INV00100,P00047,WH-HKY,395,17,378,52,2026-05-30,0,Not Required
INV00101,P00048,WH-AVL,296,61,235,43,2026-06-07,0,Not Required
INV00102,P00048,WH-GVL,3,2,1,78,2026-05-13,60,On Order
INV00103,P00049,WH-GVL,137,50,87,42,2026-05-10,0,Not Required
INV00104,P00049,WH-AVL,314,2,312,66,2026-03-17,0,Not Required
INV00105,P00050,WH-CLT,232,55,177,98,2026-03-31,0,Not Required
INV00106,P00050,WH-GVL,189,66,123,46,2026-06-02,0,Not Required
INV00107,P00051,WH-GVL,225,39,186,16,2026-02-17,0,Not Required
INV00108,P00051,WH-HKY,394,66,328,18,2026-05-05,0,Not Required
INV00109,P00052,WH-CLT,162,56,106,53,2026-04-22,0,Not Required
INV00110,P00053,WH-AVL,397,27,370,85,2026-04-14,0,Not Required
INV00111,P00054,WH-CLT,272,19,253,62,2026-04-16,0,Not Required
INV00112,P00054,WH-GVL,266,48,218,111,2026-01-25,0,Not Required
INV00113,P00054,WH-AVL,151,41,110,119,2026-05-07,163,On Order
INV00114,P00055,WH-HKY,39,12,27,49,2026-04-02,62,On Order
INV00115,P00055,WH-CLT,358,7,351,88,2026-02-06,0,Not Required
INV00116,P00056,WH-AVL,218,75,143,46,2026-01-28,0,Not Required
INV00117,P00056,WH-CLT,55,1,54,69,2026-05-13,137,On Order
INV00118,P00057,WH-HKY,274,50,224,102,2026-01-12,0,Not Required
INV00119,P00057,WH-AVL,26,16,10,67,2026-03-10,65,On Order
INV00120,P00057,WH-GVL,221,36,185,55,2026-05-26,0,Not Required
INV00121,P00058,WH-GVL,427,13,414,21,2026-01-26,0,Not Required
INV00122,P00058,WH-HKY,396,34,362,105,2026-04-22,0,Not Required
INV00123,P00058,WH-CLT,404,50,354,108,2026-03-27,0,Not Required
INV00124,P00059,WH-HKY,240,50,190,64,2026-06-03,0,Not Required
INV00125,P00059,WH-GVL,200,33,167,66,2026-03-17,0,Not Required
INV00126,P00060,WH-HKY,142,55,87,47,2026-01-02,0,Not Required
INV00127,P00060,WH-GVL,107,31,76,101,2026-04-22,185,On Order
INV00128,P00061,WH-HKY,237,36,201,47,2026-01-06,0,Not Required
INV00129,P00062,WH-HKY,191,10,181,111,2026-01-10,0,Not Required
INV00130,P00062,WH-GVL,19,19,0,17,2026-02-15,191,On Order
INV00131,P00062,WH-CLT,264,70,194,25,2026-04-19,0,Not Required
INV00132,P00063,WH-CLT,12,10,2,59,2026-01-20,78,On Order
INV00133,P00063,WH-GVL,111,31,80,76,2026-03-04,0,Not Required
INV00134,P00063,WH-AVL,208,66,142,87,2026-02-25,0,Not Required
INV00135,P00064,WH-CLT,411,36,375,43,2026-04-13,0,Not Required
INV00136,P00064,WH-AVL,55,42,13,89,2026-06-04,186,On Order
INV00137,P00064,WH-HKY,52,47,5,39,2026-05-29,174,On Order
INV00138,P00065,WH-HKY,331,67,264,97,2026-02-08,0,Not Required
INV00139,P00066,WH-HKY,56,20,36,93,2026-01-30,106,On Order
INV00140,P00066,WH-GVL,63,6,57,44,2026-03-01,0,Not Required
INV00141,P00067,WH-GVL,236,25,211,70,2026-03-28,0,Not Required
INV00142,P00067,WH-CLT,313,50,263,18,2026-05-09,0,Not Required
INV00143,P00067,WH-HKY,134,21,113,111,2026-03-12,0,Not Required
INV00144,P00068,WH-AVL,154,19,135,54,2026-05-30,0,Not Required
INV00145,P00068,WH-HKY,325,63,262,111,2026-05-04,0,Not Required
INV00146,P00069,WH-HKY,436,52,384,111,2026-02-20,0,Not Required
INV00147,P00069,WH-CLT,358,67,291,116,2026-04-12,0,Not Required
INV00148,P00070,WH-AVL,374,70,304,26,2026-01-06,0,Not Required
INV00149,P00070,WH-HKY,114,32,82,16,2026-03-11,0,Not Required
INV00150,P00071,WH-CLT,271,40,231,74,2026-02-06,0,Not Required
INV00151,P00072,WH-CLT,252,1,251,50,2026-02-06,0,Not Required
INV00152,P00072,WH-HKY,449,33,416,49,2026-04-11,0,Not Required
INV00153,P00073,WH-GVL,438,71,367,71,2026-05-18,0,Not Required
INV00154,P00073,WH-CLT,115,80,35,81,2026-03-19,135,On Order
INV00155,P00073,WH-HKY,457,7,450,36,2026-04-20,0,Not Required
INV00156,P00074,WH-HKY,111,26,85,59,2026-01-14,0,Not Required
INV00157,P00074,WH-CLT,44,7,37,46,2026-01-19,164,On Order
INV00158,P00075,WH-HKY,451,65,386,97,2026-01-22,0,Not Required
INV00159,P00075,WH-AVL,85,23,62,20,2026-02-18,0,Not Required
INV00160,P00076,WH-AVL,170,49,121,55,2026-02-02,0,Not Required
INV00161,P00076,WH-CLT,422,48,374,72,2026-02-19,0,Not Required
INV00162,P00077,WH-CLT,19,15,4,42,2026-04-25,134,On Order
INV00163,P00077,WH-AVL,185,57,128,79,2026-02-06,0,Not Required
INV00164,P00078,WH-GVL,236,63,173,18,2026-06-01,0,Not Required
INV00165,P00078,WH-AVL,206,2,204,58,2026-03-17,0,Not Required
INV00166,P00078,WH-CLT,240,20,220,116,2026-02-11,0,Not Required
INV00167,P00079,WH-CLT,0,0,0,47,2026-01-20,90,On Order
INV00168,P00079,WH-GVL,490,20,470,21,2026-01-09,0,Not Required
INV00169,P00079,WH-AVL,17,13,4,22,2026-02-17,60,On Order
INV00170,P00080,WH-GVL,332,44,288,16,2026-04-23,0,Not Required
INV00171,P00080,WH-CLT,457,60,397,101,2026-03-30,0,Not Required
INV00172,P00081,WH-HKY,30,15,15,16,2026-01-12,111,On Order
INV00173,P00081,WH-AVL,60,48,12,21,2026-03-10,123,On Order
INV00174,P00081,WH-CLT,163,70,93,64,2026-04-16,0,Not Required
INV00175,P00082,WH-AVL,32,23,9,63,2026-05-20,53,On Order
INV00176,P00082,WH-GVL,92,9,83,84,2026-04-06,71,On Order
INV00177,P00083,WH-GVL,473,8,465,53,2026-01-18,0,Not Required
INV00178,P00083,WH-AVL,377,26,351,51,2026-05-31,0,Not Required
INV00179,P00083,WH-HKY,343,6,337,48,2026-05-30,0,Not Required
INV00180,P00084,WH-AVL,260,43,217,96,2026-02-16,0,Not Required
INV00181,P00084,WH-GVL,397,0,397,101,2026-01-08,0,Not Required
INV00182,P00085,WH-HKY,59,49,10,41,2026-03-20,187,On Order
INV00183,P00085,WH-GVL,202,24,178,111,2026-02-17,0,Not Required
INV00184,P00086,WH-GVL,472,22,450,89,2026-02-14,0,Not Required
INV00185,P00087,WH-AVL,292,45,247,104,2026-04-25,0,Not Required
INV00186,P00087,WH-CLT,107,40,67,53,2026-02-28,0,Not Required
INV00187,P00087,WH-HKY,408,33,375,26,2026-02-15,0,Not Required
INV00188,P00088,WH-AVL,175,15,160,74,2026-05-10,0,Not Required
INV00189,P00088,WH-GVL,210,55,155,97,2026-03-16,0,Not Required
INV00190,P00088,WH-CLT,334,71,263,39,2026-01-02,0,Not Required
INV00191,P00089,WH-AVL,348,76,272,109,2026-02-15,0,Not Required
INV00192,P00089,WH-GVL,489,46,443,54,2026-01-22,0,Not Required
INV00193,P00089,WH-CLT,347,55,292,118,2026-03-17,0,Not Required
INV00194,P00090,WH-GVL,29,6,23,80,2026-01-26,145,On Order
INV00195,P00090,WH-AVL,259,76,183,85,2026-05-02,0,Not Required
INV00196,P00090,WH-HKY,363,55,308,28,2026-06-01,0,Not Required
INV00197,P00091,WH-HKY,100,26,74,108,2026-03-10,190,On Order
INV00198,P00091,WH-GVL,386,51,335,31,2026-06-05,0,Not Required
INV00199,P00092,WH-HKY,417,65,352,57,2026-04-05,0,Not Required
INV00200,P00092,WH-AVL,422,66,356,56,2026-01-31,0,Not Required
INV00201,P00093,WH-GVL,74,6,68,25,2026-03-29,0,Not Required
INV00202,P00093,WH-AVL,186,17,169,98,2026-05-24,0,Not Required
INV00203,P00093,WH-HKY,343,55,288,18,2026-02-24,0,Not Required
INV00204,P00094,WH-AVL,487,11,476,93,2026-03-20,0,Not Required
INV00205,P00095,WH-GVL,291,15,276,83,2026-01-24,0,Not Required
INV00206,P00095,WH-HKY,315,74,241,111,2026-05-18,0,Not Required
INV00207,P00096,WH-HKY,410,12,398,111,2026-06-01,0,Not Required
INV00208,P00096,WH-GVL,75,5,70,57,2026-03-02,0,Not Required
INV00209,P00096,WH-AVL,130,25,105,53,2026-03-27,0,Not Required
INV00210,P00097,WH-CLT,5,5,0,33,2026-01-19,97,On Order
INV00211,P00097,WH-HKY,372,50,322,97,2026-02-03,0,Not Required
INV00212,P00098,WH-GVL,344,4,340,19,2026-02-16,0,Not Required
INV00213,P00099,WH-CLT,383,21,362,106,2026-03-25,0,Not Required
INV00214,P00099,WH-HKY,380,10,370,91,2026-01-25,0,Not Required
INV00215,P00099,WH-AVL,39,19,20,104,2026-04-11,57,On Order
INV00216,P00100,WH-AVL,112,27,85,44,2026-03-16,0,Not Required
INV00217,P00101,WH-GVL,398,6,392,54,2026-04-30,0,Not Required
INV00218,P00101,WH-AVL,197,42,155,52,2026-04-02,0,Not Required
INV00219,P00102,WH-HKY,467,72,395,52,2026-06-10,0,Not Required
INV00220,P00102,WH-AVL,165,61,104,85,2026-02-17,0,Not Required
INV00221,P00103,WH-AVL,427,40,387,28,2026-05-24,0,Not Required
INV00222,P00104,WH-GVL,98,39,59,67,2026-01-01,147,On Order
INV00223,P00105,WH-AVL,497,38,459,21,2026-01-25,0,Not Required
INV00224,P00105,WH-HKY,328,23,305,23,2026-02-08,0,Not Required
INV00225,P00106,WH-CLT,446,68,378,105,2026-01-15,0,Not Required
INV00226,P00106,WH-AVL,102,29,73,114,2026-04-04,55,On Order
INV00227,P00107,WH-GVL,175,34,141,68,2026-05-12,0,Not Required
INV00228,P00107,WH-AVL,352,70,282,101,2026-04-08,0,Not Required
INV00229,P00108,WH-HKY,316,37,279,16,2026-01-22,0,Not Required
INV00230,P00108,WH-CLT,372,26,346,116,2026-03-21,0,Not Required
INV00231,P00109,WH-GVL,232,18,214,44,2026-02-24,0,Not Required
INV00232,P00109,WH-AVL,95,51,44,85,2026-04-23,181,On Order
INV00233,P00109,WH-HKY,46,3,43,100,2026-05-24,160,On Order
INV00234,P00110,WH-AVL,81,48,33,32,2026-03-26,0,Not Required
INV00235,P00111,WH-HKY,425,27,398,81,2026-05-23,0,Not Required
INV00236,P00111,WH-CLT,456,30,426,117,2026-02-28,0,Not Required
INV00237,P00111,WH-AVL,270,19,251,31,2026-04-05,0,Not Required
INV00238,P00112,WH-HKY,224,68,156,68,2026-01-14,0,Not Required
INV00239,P00113,WH-HKY,268,10,258,116,2026-06-03,0,Not Required
INV00240,P00114,WH-HKY,334,31,303,53,2026-03-31,0,Not Required
INV00241,P00115,WH-AVL,101,71,30,77,2026-03-05,83,On Order
INV00242,P00116,WH-HKY,72,62,10,37,2026-04-30,137,On Order
INV00243,P00116,WH-AVL,350,39,311,56,2026-05-17,0,Not Required
INV00244,P00117,WH-AVL,382,11,371,88,2026-05-13,0,Not Required
INV00245,P00117,WH-CLT,427,50,377,75,2026-01-26,0,Not Required
INV00246,P00117,WH-HKY,453,52,401,72,2026-01-16,0,Not Required
INV00247,P00118,WH-AVL,187,25,162,76,2026-04-20,0,Not Required
INV00248,P00118,WH-GVL,489,18,471,76,2026-03-17,0,Not Required
INV00249,P00118,WH-HKY,284,68,216,114,2026-04-09,0,Not Required
INV00250,P00119,WH-HKY,276,23,253,106,2026-05-04,0,Not Required
INV00251,P00120,WH-GVL,410,69,341,42,2026-03-26,0,Not Required
INV00252,P00120,WH-CLT,438,68,370,102,2026-02-22,0,Not Required
INV00253,P00121,WH-AVL,97,7,90,60,2026-04-29,0,Not Required
INV00254,P00121,WH-GVL,1,0,1,35,2026-05-08,83,On Order
INV00255,P00121,WH-CLT,40,37,3,54,2026-03-09,70,On Order
INV00256,P00122,WH-HKY,217,72,145,52,2026-01-11,0,Not Required
INV00257,P00122,WH-AVL,162,9,153,36,2026-02-07,0,Not Required
INV00258,P00123,WH-CLT,154,36,118,47,2026-05-11,0,Not Required
INV00259,P00123,WH-GVL,361,28,333,77,2026-01-10,0,Not Required
INV00260,P00124,WH-CLT,49,40,9,32,2026-05-25,163,On Order
INV00261,P00124,WH-GVL,151,25,126,22,2026-05-01,0,Not Required
INV00262,P00125,WH-CLT,451,69,382,96,2026-03-27,0,Not Required
INV00263,P00125,WH-HKY,115,18,97,86,2026-03-10,0,Not Required
INV00264,P00126,WH-AVL,96,67,29,101,2026-04-25,130,On Order
INV00265,P00126,WH-GVL,160,80,80,41,2026-04-15,0,Not Required
INV00266,P00126,WH-HKY,199,66,133,30,2026-01-06,0,Not Required
INV00267,P00127,WH-CLT,236,2,234,99,2026-03-01,0,Not Required
INV00268,P00128,WH-AVL,399,76,323,95,2026-03-08,0,Not Required
INV00269,P00128,WH-HKY,241,28,213,40,2026-01-29,0,Not Required
INV00270,P00129,WH-HKY,391,13,378,57,2026-01-19,0,Not Required
INV00271,P00129,WH-CLT,281,53,228,65,2026-04-24,0,Not Required
INV00272,P00129,WH-AVL,236,43,193,48,2026-04-02,0,Not Required
INV00273,P00130,WH-GVL,282,79,203,23,2026-01-12,0,Not Required
INV00274,P00130,WH-AVL,240,66,174,62,2026-02-16,0,Not Required
INV00275,P00131,WH-GVL,175,53,122,28,2026-03-05,0,Not Required
INV00276,P00131,WH-HKY,331,60,271,118,2026-01-19,0,Not Required
INV00277,P00132,WH-GVL,364,32,332,96,2026-04-24,0,Not Required
INV00278,P00132,WH-CLT,108,18,90,36,2026-01-22,0,Not Required
INV00279,P00133,WH-HKY,142,30,112,44,2026-04-02,0,Not Required
INV00280,P00133,WH-CLT,131,52,79,114,2026-06-04,90,On Order
INV00281,P00133,WH-GVL,445,34,411,73,2026-02-26,0,Not Required
INV00282,P00134,WH-HKY,302,39,263,24,2026-02-09,0,Not Required
INV00283,P00134,WH-CLT,165,32,133,63,2026-01-30,0,Not Required
INV00284,P00135,WH-HKY,408,29,379,40,2026-02-10,0,Not Required
INV00285,P00135,WH-AVL,341,39,302,87,2026-04-19,0,Not Required
INV00286,P00135,WH-GVL,80,9,71,20,2026-02-21,0,Not Required
INV00287,P00136,WH-HKY,499,32,467,91,2026-05-03,0,Not Required
INV00288,P00136,WH-CLT,285,52,233,42,2026-05-27,0,Not Required
INV00289,P00137,WH-CLT,125,59,66,108,2026-01-06,109,On Order
INV00290,P00137,WH-GVL,428,43,385,104,2026-04-14,0,Not Required
INV00291,P00137,WH-AVL,156,21,135,107,2026-04-18,0,Not Required
INV00292,P00138,WH-CLT,207,6,201,17,2026-05-05,0,Not Required
INV00293,P00139,WH-HKY,219,28,191,70,2026-02-24,0,Not Required
INV00294,P00139,WH-GVL,270,16,254,90,2026-04-26,0,Not Required
INV00295,P00139,WH-CLT,401,67,334,86,2026-03-28,0,Not Required
INV00296,P00140,WH-CLT,226,33,193,42,2026-02-26,0,Not Required
INV00297,P00140,WH-AVL,300,7,293,89,2026-03-15,0,Not Required
INV00298,P00140,WH-HKY,20,0,20,89,2026-05-13,108,On Order
INV00299,P00141,WH-HKY,406,34,372,42,2026-03-17,0,Not Required
INV00300,P00142,WH-GVL,309,39,270,81,2026-02-15,0,Not Required
INV00301,P00142,WH-HKY,147,56,91,39,2026-03-25,0,Not Required
INV00302,P00143,WH-CLT,202,16,186,26,2026-01-09,0,Not Required
INV00303,P00143,WH-HKY,8,8,0,119,2026-04-25,59,On Order
INV00304,P00144,WH-AVL,455,6,449,99,2026-05-19,0,Not Required
INV00305,P00144,WH-HKY,403,34,369,62,2026-05-07,0,Not Required
INV00306,P00144,WH-GVL,135,45,90,36,2026-05-29,0,Not Required
INV00307,P00145,WH-CLT,84,22,62,38,2026-02-25,0,Not Required
INV00308,P00145,WH-HKY,429,11,418,58,2026-05-21,0,Not Required
INV00309,P00146,WH-AVL,80,70,10,60,2026-03-08,65,On Order
INV00310,P00146,WH-GVL,270,49,221,36,2026-02-14,0,Not Required
INV00311,P00147,WH-AVL,19,12,7,54,2026-04-12,170,On Order
INV00312,P00147,WH-GVL,320,15,305,22,2026-03-04,0,Not Required
INV00313,P00147,WH-HKY,123,24,99,90,2026-01-02,0,Not Required
INV00314,P00148,WH-CLT,420,4,416,50,2026-04-19,0,Not Required
INV00315,P00148,WH-HKY,9,0,9,56,2026-05-03,112,On Order
INV00316,P00148,WH-GVL,423,78,345,61,2026-05-26,0,Not Required
INV00317,P00149,WH-HKY,403,0,403,45,2026-03-02,0,Not Required
INV00318,P00150,WH-CLT,444,46,398,69,2026-01-02,0,Not Required
INV00319,P00150,WH-HKY,426,21,405,82,2026-03-11,0,Not Required
INV00320,P00150,WH-AVL,480,29,451,85,2026-04-11,0,Not Required
INV00321,P00151,WH-GVL,367,66,301,82,2026-06-02,0,Not Required
INV00322,P00151,WH-AVL,424,78,346,24,2026-06-10,0,Not Required
INV00323,P00151,WH-CLT,33,12,21,26,2026-02-22,156,On Order
INV00324,P00152,WH-GVL,237,14,223,57,2026-04-26,0,Not Required
INV00325,P00152,WH-AVL,362,22,340,103,2026-02-15,0,Not Required
INV00326,P00153,WH-GVL,123,41,82,25,2026-02-27,0,Not Required
INV00327,P00153,WH-HKY,239,70,169,16,2026-03-06,0,Not Required
INV00328,P00154,WH-HKY,305,76,229,35,2026-04-05,0,Not Required
INV00329,P00154,WH-AVL,466,49,417,109,2026-05-04,0,Not Required
INV00330,P00154,WH-CLT,29,10,19,78,2026-02-24,174,On Order
INV00331,P00155,WH-GVL,78,58,20,100,2026-02-18,154,On Order
INV00332,P00155,WH-AVL,157,13,144,15,2026-03-21,0,Not Required
INV00333,P00155,WH-CLT,76,17,59,115,2026-05-24,110,On Order
INV00334,P00156,WH-GVL,335,9,326,83,2026-03-25,0,Not Required
INV00335,P00156,WH-CLT,81,4,77,39,2026-02-20,0,Not Required
INV00336,P00156,WH-HKY,334,68,266,15,2026-04-17,0,Not Required
INV00337,P00157,WH-GVL,245,55,190,39,2026-05-28,0,Not Required
INV00338,P00157,WH-HKY,227,37,190,84,2026-04-28,0,Not Required
INV00339,P00158,WH-AVL,338,56,282,31,2026-05-10,0,Not Required
INV00340,P00158,WH-HKY,149,52,97,120,2026-03-29,184,On Order
INV00341,P00158,WH-CLT,149,76,73,18,2026-05-01,0,Not Required
INV00342,P00159,WH-HKY,148,48,100,101,2026-01-18,60,On Order
INV00343,P00159,WH-AVL,84,8,76,119,2026-04-20,181,On Order
INV00344,P00160,WH-CLT,80,62,18,21,2026-04-16,149,On Order
INV00345,P00160,WH-GVL,158,75,83,51,2026-01-24,0,Not Required
INV00346,P00160,WH-AVL,147,44,103,95,2026-05-11,0,Not Required
INV00347,P00161,WH-CLT,99,60,39,106,2026-03-02,70,On Order
INV00348,P00161,WH-GVL,241,45,196,95,2026-01-08,0,Not Required
INV00349,P00161,WH-HKY,497,62,435,81,2026-06-02,0,Not Required
INV00350,P00162,WH-AVL,371,70,301,21,2026-03-24,0,Not Required
INV00351,P00162,WH-CLT,450,80,370,38,2026-05-20,0,Not Required
INV00352,P00163,WH-GVL,191,51,140,62,2026-02-20,0,Not Required
INV00353,P00163,WH-HKY,150,44,106,40,2026-02-27,0,Not Required
INV00354,P00164,WH-CLT,107,63,44,119,2026-03-22,139,On Order
INV00355,P00164,WH-HKY,371,53,318,97,2026-04-18,0,Not Required
INV00356,P00164,WH-AVL,169,23,146,86,2026-02-10,0,Not Required
INV00357,P00165,WH-HKY,9,7,2,68,2026-01-24,93,On Order
INV00358,P00166,WH-CLT,3,1,2,93,2026-01-20,125,On Order
INV00359,P00166,WH-AVL,37,4,33,16,2026-03-29,0,Not Required
INV00360,P00166,WH-GVL,65,60,5,68,2026-05-19,99,On Order
INV00361,P00167,WH-HKY,441,44,397,80,2026-01-31,0,Not Required
INV00362,P00167,WH-AVL,43,14,29,30,2026-05-14,151,On Order
INV00363,P00167,WH-CLT,494,15,479,76,2026-05-03,0,Not Required
INV00364,P00168,WH-CLT,97,3,94,29,2026-05-11,0,Not Required
INV00365,P00168,WH-HKY,342,7,335,97,2026-06-04,0,Not Required
INV00366,P00169,WH-GVL,347,21,326,115,2026-04-30,0,Not Required
INV00367,P00169,WH-CLT,87,31,56,47,2026-02-12,0,Not Required
