order_id,customer_id,employee_id,order_date,channel,status,subtotal,tax,shipping,total,region
O0000055,C001140,E0039,2025-11-29T11:28:22,Phone,Completed,1617.48,113.22,0.0,1730.7,Foothills
O0000056,C000499,E0060,2025-02-12T08:54:55,Retail Store,Completed,313.24,21.93,0.0,335.17,Smoky Mountains
O0000057,C000097,E0017,2025-10-25T10:58:50,Marketplace,Completed,394.55,37.48,0.0,432.03,Piedmont
O0000058,C002054,E0017,2025-03-19T10:44:41,Phone,Completed,1599.74,111.98,0.0,1711.72,Foothills
O0000059,C001715,E0014,2025-01-16T10:17:16,Marketplace,Completed,2354.78,134.22,0.0,2489.0,Piedmont
O0000060,C000513,E0039,2025-01-16T17:12:34,Online,Completed,2528.1,176.97,0.0,2705.07,Foothills
O0000061,C001158,E0037,2025-07-18T11:47:29,Retail Store,Completed,1051.61,84.13,0.0,1135.74,Blue Ridge
O0000062,C000186,E0030,2025-11-27T16:55:23,Marketplace,Completed,282.74,26.86,0.0,309.6,Appalachian
O0000063,C002482,E0039,2025-05-30T07:31:37,Online,Completed,1293.58,122.89,0.0,1416.47,Foothills
O0000064,C000788,E0007,2025-11-07T09:28:25,Phone,Completed,1143.62,80.05,0.0,1223.67,Piedmont
O0000065,C001072,E0024,2025-11-07T11:40:29,Retail Store,Completed,1702.19,119.15,0.0,1821.34,Appalachian
O0000066,C000599,E0051,2025-11-19T15:47:52,Online,Completed,357.1,28.57,0.0,385.67,Piedmont
O0000067,C000115,E0058,2025-11-05T10:21:27,Retail Store,Completed,1394.82,111.59,0.0,1506.41,Smoky Mountains
O0000068,C001701,E0017,2025-02-15T16:17:48,Marketplace,Completed,2416.36,137.73,0.0,2554.09,Blue Ridge
O0000069,C000514,E0058,2025-08-16T13:25:23,Phone,Completed,1929.07,135.03,0.0,2064.1,Coastal
O0000070,C002520,E0060,2025-07-04T08:23:36,Retail Store,Completed,218.28,15.28,0.0,233.56,Foothills
O0000071,C000637,E0001,2025-07-04T14:14:57,Retail Store,Completed,2437.13,138.92,0.0,2576.05,Foothills
O0000072,C000827,E0060,2025-08-15T10:55:00,Phone,Completed,3348.02,267.84,0.0,3615.86,Foothills
O0000073,C002585,E0042,2025-03-13T17:51:26,Marketplace,Completed,1282.14,89.75,0.0,1371.89,Appalachian
O0000074,C000599,E0024,2025-03-25T18:34:29,Marketplace,Cancelled,935.14,74.81,0.0,1009.95,Piedmont
O0000075,C001878,E0060,2025-12-18T08:52:28,Online,Completed,2318.86,162.32,0.0,2481.18,Foothills
O0000076,C001536,E0018,2025-04-04T16:29:22,Marketplace,Completed,3965.37,226.03,0.0,4191.4,Foothills
O0000077,C000971,E0039,2025-03-15T11:11:41,Retail Store,Completed,3191.92,255.35,0.0,3447.27,Foothills
O0000078,C000891,E0057,2025-03-19T10:28:30,Phone,Completed,526.37,36.85,0.0,563.22,Piedmont
O0000079,C001401,E0060,2025-02-09T22:29:46,Online,Completed,3649.72,291.98,0.0,3941.7,Smoky Mountains
O0000080,C001675,E0043,2025-05-13T12:44:44,Retail Store,Completed,2759.91,220.79,0.0,2980.7,Coastal
O0000081,C000594,E0030,2025-04-20T20:18:20,Online,Cancelled,603.01,48.24,0.0,651.25,Blue Ridge
O0000082,C002511,E0022,2025-11-26T10:19:47,Online,Completed,139.09,9.74,0.0,148.83,Foothills
O0000083,C001703,E0028,2025-09-23T20:47:07,Online,Completed,1198.48,95.88,0.0,1294.36,Piedmont
O0000084,C000034,E0022,2025-03-02T15:00:35,Retail Store,Completed,340.02,19.38,0.0,359.4,Piedmont
O0000085,C000381,E0008,2025-08-18T13:23:08,Phone,Returned,324.31,30.81,0.0,355.12,Appalachian
O0000086,C000063,E0006,2025-11-21T11:07:21,Phone,Completed,1362.54,95.38,0.0,1457.92,Appalachian
O0000087,C001343,E0042,2025-03-28T13:09:20,Online,Returned,1370.61,109.65,0.0,1480.26,Appalachian
O0000088,C001937,E0028,2025-10-22T22:05:44,Online,Completed,190.34,18.08,0.0,208.42,Appalachian
O0000089,C000493,E0037,2025-06-20T16:52:54,Phone,Completed,3465.78,277.26,0.0,3743.04,Foothills
O0000090,C001878,E0034,2025-09-12T13:42:58,Retail Store,Completed,6474.04,453.18,0.0,6927.22,Foothills
O0000091,C000397,E0040,2025-05-15T11:00:39,Phone,Cancelled,1043.33,83.47,0.0,1126.8,Blue Ridge
O0000092,C000542,E0004,2025-07-08T13:12:02,Phone,Completed,358.79,25.12,0.0,383.91,Smoky Mountains
O0000093,C000043,E0054,2025-07-16T12:30:34,Marketplace,Completed,436.66,34.93,0.0,471.59,Piedmont
O0000094,C000791,E0060,2025-04-06T12:26:21,Marketplace,Completed,3975.83,278.31,0.0,4254.14,Coastal
O0000095,C001133,E0020,2025-03-10T18:53:30,Marketplace,Completed,570.8,45.66,0.0,616.46,Coastal
O0000096,C001351,E0008,2025-06-10T18:39:34,Marketplace,Completed,157.32,12.59,0.0,169.91,Blue Ridge
O0000097,C001201,E0030,2025-01-18T09:43:00,Marketplace,Cancelled,2735.41,259.86,0.0,2995.27,Blue Ridge
O0000098,C001661,E0034,2025-11-09T17:59:40,Phone,Completed,1591.49,111.4,0.0,1702.89,Foothills
O0000099,C002045,E0007,2025-06-05T12:36:17,Phone,Completed,1486.86,104.08,0.0,1590.94,Piedmont
O0000100,C000133,E0030,2025-03-08T17:45:20,Marketplace,Completed,5541.75,526.47,0.0,6068.22,Foothills
O0000101,C000087,E0036,2025-09-26T13:06:06,Retail Store,Completed,442.28,42.02,0.0,484.3,Coastal
O0000102,C001779,E0020,2025-12-18T19:00:00,Marketplace,Completed,1548.68,147.12,0.0,1695.8,Appalachian
O0000103,C000617,E0053,2025-10-05T13:41:21,Phone,Completed,833.85,79.22,0.0,913.07,Piedmont
O0000104,C001631,E0035,2025-05-10T15:47:23,Phone,Completed,2310.72,184.86,0.0,2495.58,Smoky Mountains
O0000105,C001148,E0007,2025-06-24T05:09:46,Marketplace,Completed,1415.48,113.24,0.0,1528.72,Smoky Mountains
O0000106,C002492,E0022,2025-05-12T13:36:16,Retail Store,Completed,30.72,2.15,0.0,32.87,Foothills
O0000107,C000808,E0048,2025-06-09T20:57:09,Online,Completed,3621.71,253.52,0.0,3875.23,Foothills
O0000108,C000794,E0053,2025-08-20T09:19:41,Online,Completed,1609.09,152.86,0.0,1761.95,Foothills
O0000109,C001742,E0026,2025-05-05T01:17:29,Marketplace,Returned,1931.39,135.2,0.0,2066.59,Foothills
O0000110,C002355,E0034,2025-04-29T11:40:00,Online,Completed,1180.04,82.6,0.0,1262.64,Smoky Mountains
O0000111,C000720,E0007,2025-05-20T13:27:54,Phone,Cancelled,3794.41,216.28,0.0,4010.69,Piedmont
O0000112,C000629,E0028,2025-09-13T07:30:42,Marketplace,Completed,6162.28,431.36,0.0,6593.64,Coastal
O0000113,C001148,E0036,2025-11-15T11:22:14,Marketplace,Completed,506.86,40.55,0.0,547.41,Smoky Mountains
O0000114,C001761,E0020,2025-11-24T17:11:41,Retail Store,Completed,975.81,78.06,0.0,1053.87,Smoky Mountains
O0000115,C002499,E0056,2025-05-03T13:25:44,Online,Completed,660.73,62.77,0.0,723.5,Coastal
O0000116,C001584,E0030,2025-04-19T11:11:30,Marketplace,Completed,2175.02,206.63,0.0,2381.65,Appalachian
O0000117,C002147,E0008,2025-02-06T17:12:06,Phone,Completed,5857.56,410.03,0.0,6267.59,Blue Ridge
O0000118,C002591,E0053,2025-06-06T10:53:02,Phone,Completed,380.09,30.41,0.0,410.5,Appalachian
O0000119,C000066,E0026,2025-12-17T21:10:31,Online,Completed,3843.5,365.13,0.0,4208.63,Foothills
O0000120,C000200,E0003,2025-01-03T17:13:26,Marketplace,Completed,595.42,41.68,0.0,637.1,Smoky Mountains
O0000121,C002065,E0039,2025-08-06T13:01:21,Retail Store,Completed,2129.48,121.38,0.0,2250.86,Piedmont
O0000122,C001431,E0045,2025-09-28T16:23:33,Marketplace,Completed,4410.32,308.72,0.0,4719.04,Smoky Mountains
O0000123,C001982,E0014,2025-01-11T07:19:59,Phone,Completed,1827.04,127.89,0.0,1954.93,Foothills
O0000124,C000210,E0020,2025-02-25T18:34:00,Marketplace,Completed,2262.42,158.37,0.0,2420.79,Foothills
O0000125,C001626,E0051,2025-10-18T17:42:25,Marketplace,Completed,154.54,8.81,0.0,163.35,Smoky Mountains
O0000126,C001542,E0045,2025-08-04T18:30:37,Online,Completed,2012.18,160.97,0.0,2173.15,Coastal
O0000127,C001131,E0059,2025-01-04T21:20:12,Online,Completed,3327.68,266.21,0.0,3593.89,Smoky Mountains
O0000128,C001703,E0018,2025-07-16T16:59:03,Phone,Completed,1820.98,145.68,0.0,1966.66,Piedmont
O0000129,C002060,E0042,2025-03-09T14:29:03,Online,Completed,951.83,90.42,0.0,1042.25,Blue Ridge
O0000130,C001915,E0037,2025-11-10T16:32:55,Marketplace,Completed,3525.36,334.91,0.0,3860.27,Foothills
O0000131,C002395,E0026,2025-03-12T11:04:04,Phone,Completed,1789.98,143.2,0.0,1933.18,Foothills
O0000132,C001911,E0001,2025-01-13T16:50:01,Retail Store,Completed,567.32,53.9,0.0,621.22,Smoky Mountains
O0000133,C000603,E0060,2025-07-12T09:39:38,Phone,Completed,5101.93,357.14,0.0,5459.07,Appalachian
O0000134,C001735,E0037,2025-01-27T11:34:14,Online,Completed,1509.14,105.64,0.0,1614.78,Appalachian
O0000135,C000557,E0054,2025-10-30T23:37:36,Marketplace,Completed,1202.81,84.2,0.0,1287.01,Piedmont
O0000136,C000218,E0024,2025-12-25T22:21:29,Marketplace,Completed,523.6,29.85,0.0,553.45,Coastal
O0000137,C001185,E0053,2025-10-28T19:13:06,Retail Store,Completed,311.88,29.63,0.0,341.51,Appalachian
O0000138,C002351,E0018,2025-02-13T11:40:27,Retail Store,Returned,3212.65,224.89,0.0,3437.54,Foothills
O0000139,C000805,E0046,2025-07-22T13:19:42,Online,Completed,2829.98,226.4,0.0,3056.38,Blue Ridge
O0000140,C002123,E0035,2025-07-24T15:08:14,Online,Completed,2546.33,178.24,0.0,2724.57,Smoky Mountains
O0000141,C000733,E0030,2025-06-13T11:24:05,Phone,Completed,694.8,55.58,0.0,750.38,Blue Ridge
O0000142,C001272,E0060,2025-12-28T19:09:12,Retail Store,Completed,4352.63,304.68,0.0,4657.31,Blue Ridge
O0000143,C001659,E0022,2025-12-15T18:39:39,Marketplace,Completed,1432.47,100.27,0.0,1532.74,Coastal
O0000144,C002058,E0008,2025-10-18T06:18:23,Marketplace,Completed,798.84,63.91,0.0,862.75,Smoky Mountains
O0000145,C000589,E0048,2025-04-24T16:55:01,Retail Store,Completed,2362.6,165.38,0.0,2527.98,Foothills
O0000146,C001205,E0043,2025-09-23T15:07:25,Phone,Completed,1005.55,70.39,0.0,1075.94,Smoky Mountains
O0000147,C001695,E0024,2025-11-04T22:15:56,Online,Completed,328.51,23.0,0.0,351.51,Piedmont
O0000148,C001299,E0036,2025-07-26T20:37:27,Marketplace,Completed,806.61,64.53,0.0,871.14,Smoky Mountains
O0000149,C000977,E0057,2025-11-19T13:20:45,Marketplace,Completed,5572.01,390.04,0.0,5962.05,Coastal
O0000150,C001675,E0053,2025-10-03T16:19:21,Marketplace,Completed,3145.26,251.62,0.0,3396.88,Coastal
O0000151,C000455,E0026,2025-04-08T13:02:55,Online,Completed,2042.67,142.99,0.0,2185.66,Appalachian
O0000152,C002294,E0056,2025-11-04T12:58:46,Retail Store,Completed,3796.6,265.76,0.0,4062.36,Smoky Mountains
O0000153,C000543,E0009,2025-01-29T10:01:03,Phone,Completed,597.24,41.81,0.0,639.05,Blue Ridge
O0000154,C000466,E0039,2025-11-19T09:51:20,Retail Store,Completed,3918.4,274.29,0.0,4192.69,Blue Ridge
O0000155,C000075,E0059,2025-04-18T13:23:23,Retail Store,Returned,2285.18,159.96,0.0,2445.14,Foothills
O0000156,C001273,E0058,2025-09-26T08:10:11,Retail Store,Completed,339.56,27.16,0.0,366.72,Appalachian
O0000157,C000863,E0048,2025-03-14T10:03:52,Retail Store,Completed,2418.72,229.78,0.0,2648.5,Smoky Mountains
O0000158,C002466,E0036,2025-05-24T08:14:11,Marketplace,Completed,240.71,19.26,0.0,259.97,Foothills
O0000159,C002369,E0059,2025-05-30T17:44:33,Retail Store,Completed,1398.46,111.88,0.0,1510.34,Coastal
O0000160,C000181,E0046,2025-04-06T11:15:01,Online,Completed,771.29,53.99,0.0,825.28,Smoky Mountains
O0000161,C001078,E0014,2025-11-19T10:15:13,Online,Completed,868.38,69.47,0.0,937.85,Piedmont
O0000162,C001703,E0037,2025-11-27T13:18:19,Retail Store,Returned,2235.76,178.86,0.0,2414.62,Piedmont
O0000163,C000360,E0040,2025-11-15T14:53:08,Online,Completed,2875.92,273.21,0.0,3149.13,Foothills
O0000164,C002464,E0054,2025-12-05T08:49:58,Online,Completed,891.7,62.42,0.0,954.12,Blue Ridge
O0000165,C002069,E0059,2025-01-30T16:49:18,Retail Store,Completed,882.16,50.28,0.0,932.44,Blue Ridge
O0000166,C000827,E0054,2025-04-07T21:09:48,Online,Completed,1127.37,90.19,0.0,1217.56,Foothills
O0000167,C001364,E0051,2025-06-23T14:33:37,Online,Completed,1432.3,81.64,0.0,1513.94,Foothills
O0000168,C000128,E0046,2025-02-25T14:06:15,Phone,Completed,120.16,9.61,0.0,129.77,Foothills
O0000169,C001297,E0046,2025-04-16T18:43:18,Phone,Completed,980.74,93.17,0.0,1073.91,Smoky Mountains
O0000170,C001145,E0057,2025-07-19T10:44:10,Marketplace,Completed,421.76,33.74,0.0,455.5,Coastal
O0000171,C001983,E0040,2025-11-10T18:59:10,Retail Store,Completed,1367.63,95.73,0.0,1463.36,Coastal
O0000172,C002102,E0060,2025-08-30T11:58:49,Marketplace,Completed,1066.35,85.31,0.0,1151.66,Coastal
O0000173,C001820,E0026,2025-02-04T01:01:55,Marketplace,Returned,4230.39,338.43,0.0,4568.82,Coastal
O0000174,C002152,E0028,2025-03-03T12:16:00,Marketplace,Completed,5012.29,400.98,0.0,5413.27,Coastal
O0000175,C001310,E0028,2025-03-31T09:00:50,Online,Completed,100.81,8.06,0.0,108.87,Foothills
O0000176,C002195,E0035,2025-11-01T21:11:28,Online,Completed,1396.7,97.77,0.0,1494.47,Foothills
O0000177,C002442,E0007,2025-05-12T16:37:36,Phone,Completed,2462.67,172.39,0.0,2635.06,Foothills
O0000178,C001004,E0039,2025-12-14T14:03:24,Retail Store,Completed,1834.2,128.39,0.0,1962.59,Smoky Mountains
O0000179,C000201,E0024,2025-09-26T08:12:44,Phone,Completed,1276.49,102.12,0.0,1378.61,Foothills
O0000180,C000090,E0037,2025-12-02T10:40:00,Phone,Completed,362.42,28.99,0.0,391.41,Smoky Mountains
O0000181,C001709,E0043,2025-09-28T09:58:54,Phone,Cancelled,1309.54,104.76,0.0,1414.3,Piedmont
O0000182,C000231,E0042,2025-04-27T11:31:17,Phone,Completed,33.08,2.65,9.95,45.68,Blue Ridge
O0000183,C002407,E0034,2025-09-11T12:43:03,Phone,Completed,4842.06,460.0,0.0,5302.06,Coastal
O0000184,C001281,E0018,2025-12-10T20:14:27,Online,Completed,1563.64,125.09,0.0,1688.73,Appalachian
O0000185,C000571,E0003,2025-09-27T19:55:36,Online,Completed,1544.64,123.57,0.0,1668.21,Appalachian
O0000186,C000455,E0028,2025-08-05T13:53:09,Phone,Completed,2942.46,205.97,0.0,3148.43,Appalachian
O0000187,C001361,E0024,2025-04-04T06:01:29,Online,Completed,1205.44,114.52,0.0,1319.96,Coastal
O0000188,C001727,E0046,2025-09-23T20:01:22,Marketplace,Completed,1278.86,89.52,0.0,1368.38,Foothills
O0000189,C000887,E0051,2025-04-24T17:48:31,Phone,Cancelled,1798.46,143.88,0.0,1942.34,Blue Ridge
O0000190,C002519,E0009,2025-06-22T23:50:21,Online,Cancelled,2562.28,204.98,0.0,2767.26,Blue Ridge
O0000191,C001620,E0008,2025-07-18T21:59:36,Marketplace,Returned,1129.6,90.37,0.0,1219.97,Coastal
O0000192,C001121,E0008,2025-09-15T11:23:33,Phone,Completed,2660.38,252.74,0.0,2913.12,Blue Ridge
O0000193,C001797,E0043,2025-08-18T18:44:30,Retail Store,Completed,633.48,44.34,0.0,677.82,Coastal
O0000194,C001515,E0006,2025-11-11T13:24:36,Marketplace,Cancelled,359.21,34.12,0.0,393.33,Smoky Mountains
O0000195,C000975,E0026,2025-01-11T19:24:21,Online,Completed,4504.76,360.38,0.0,4865.14,Piedmont
O0000196,C001621,E0022,2025-03-06T14:11:53,Retail Store,Completed,2345.97,164.22,0.0,2510.19,Appalachian
O0000197,C000116,E0022,2025-11-13T09:37:21,Online,Completed,3794.45,216.28,0.0,4010.73,Smoky Mountains
O0000198,C002319,E0053,2025-10-21T12:39:53,Phone,Completed,159.06,11.13,0.0,170.19,Blue Ridge
O0000199,C001588,E0014,2025-05-07T17:56:59,Online,Returned,3440.02,196.08,0.0,3636.1,Foothills
O0000200,C000979,E0036,2025-06-16T22:22:21,Marketplace,Completed,1269.11,101.53,0.0,1370.64,Appalachian
O0000201,C002216,E0057,2025-06-24T19:20:54,Marketplace,Completed,258.82,18.12,0.0,276.94,Piedmont
O0000202,C000106,E0020,2025-09-30T16:55:23,Retail Store,Completed,2752.82,156.91,0.0,2909.73,Blue Ridge
O0000203,C000636,E0022,2025-04-23T15:36:17,Marketplace,Returned,230.94,21.94,0.0,252.88,Blue Ridge
O0000204,C001720,E0008,2025-09-24T15:15:37,Retail Store,Completed,3802.92,216.77,0.0,4019.69,Blue Ridge
O0000205,C001979,E0037,2025-10-28T17:00:46,Online,Completed,422.25,29.56,0.0,451.81,Piedmont
O0000206,C000181,E0057,2025-01-27T15:42:36,Retail Store,Completed,3810.33,266.72,0.0,4077.05,Smoky Mountains
O0000207,C002273,E0006,2025-08-08T20:22:20,Online,Completed,1104.35,88.35,0.0,1192.7,Appalachian
O0000208,C000223,E0056,2025-07-20T16:07:21,Online,Completed,2284.2,159.89,0.0,2444.09,Coastal
O0000209,C002165,E0030,2025-11-30T19:07:16,Online,Completed,1602.9,128.23,0.0,1731.13,Piedmont
O0000210,C001434,E0019,2025-08-04T21:14:08,Online,Returned,5056.35,288.21,0.0,5344.56,Foothills
O0000211,C002497,E0057,2025-07-15T12:40:49,Retail Store,Completed,984.87,56.14,0.0,1041.01,Appalachian
O0000212,C001044,E0054,2025-12-01T16:34:10,Phone,Completed,1108.53,77.6,0.0,1186.13,Smoky Mountains
O0000213,C000974,E0051,2025-08-23T20:26:30,Marketplace,Completed,3978.54,318.28,0.0,4296.82,Foothills
O0000214,C001217,E0037,2025-09-30T11:25:21,Phone,Cancelled,2685.15,214.81,0.0,2899.96,Blue Ridge
O0000215,C001204,E0035,2025-02-19T18:47:22,Phone,Returned,1049.81,83.98,0.0,1133.79,Appalachian
O0000216,C001766,E0057,2025-10-19T08:40:39,Online,Returned,978.86,68.52,0.0,1047.38,Appalachian
O0000217,C002297,E0045,2025-03-06T08:25:40,Retail Store,Completed,2602.34,148.33,0.0,2750.67,Coastal
O0000218,C001039,E0042,2025-02-11T11:17:08,Retail Store,Completed,1523.9,106.67,0.0,1630.57,Piedmont
O0000219,C001138,E0036,2025-12-23T00:10:42,Online,Completed,433.71,34.7,0.0,468.41,Piedmont
O0000220,C000939,E0036,2025-09-08T12:15:47,Phone,Completed,3283.57,262.69,0.0,3546.26,Foothills
O0000221,C000266,E0041,2025-01-24T11:17:14,Retail Store,Completed,1135.56,90.84,0.0,1226.4,Smoky Mountains
O0000222,C002446,E0020,2025-12-10T12:54:53,Retail Store,Completed,1230.72,98.46,0.0,1329.18,Blue Ridge
O0000223,C000257,E0036,2025-07-06T21:08:13,Marketplace,Completed,1636.98,93.31,0.0,1730.29,Foothills
O0000224,C000240,E0022,2025-09-23T17:58:23,Retail Store,Completed,680.54,47.64,0.0,728.18,Foothills
O0000225,C001823,E0007,2025-02-25T18:25:28,Marketplace,Completed,1198.48,83.89,0.0,1282.37,Appalachian
O0000226,C001127,E0054,2025-10-29T14:17:38,Online,Completed,2397.44,191.8,0.0,2589.24,Foothills
O0000227,C001618,E0039,2025-12-05T14:59:26,Marketplace,Completed,1150.48,80.53,0.0,1231.01,Piedmont
O0000228,C002513,E0036,2025-11-07T12:18:53,Retail Store,Completed,2144.76,122.25,0.0,2267.01,Foothills
O0000229,C002470,E0037,2025-10-04T12:14:45,Marketplace,Completed,4657.3,442.44,0.0,5099.74,Coastal
O0000230,C000007,E0051,2025-09-16T09:58:58,Online,Completed,752.44,52.67,0.0,805.11,Appalachian
O0000231,C000013,E0028,2025-06-19T10:22:06,Online,Completed,117.92,6.72,0.0,124.64,Foothills
O0000232,C000885,E0048,2025-05-02T09:30:12,Online,Completed,3161.95,252.96,0.0,3414.91,Appalachian
O0000233,C001236,E0018,2025-04-11T20:55:07,Marketplace,Completed,1974.43,187.57,0.0,2162.0,Smoky Mountains
O0000234,C002568,E0034,2025-11-09T08:31:28,Retail Store,Completed,1850.27,129.52,0.0,1979.79,Piedmont
O0000235,C001827,E0054,2025-11-20T08:32:00,Phone,Completed,295.59,28.08,0.0,323.67,Piedmont
O0000236,C002372,E0057,2025-05-28T13:18:20,Phone,Completed,826.96,57.89,0.0,884.85,Blue Ridge
O0000237,C001746,E0017,2025-10-30T12:51:45,Online,Completed,2984.68,238.77,0.0,3223.45,Foothills
