event_id	event_time	customer_id	session_id	event_type	product_id	page	device	campaign	session_duration_seconds
EV00000066	2025-03-19T14:53:17		S002341	checkout_start	P00125	/checkout	mobile	social-retarget	169
EV00000067	2025-10-09T12:07:36	C001840	S007479	page_view	P00104	/shop/sleeping-bags	desktop	organic	32
EV00000068	2025-04-20T18:49:40	C000402	S006472	page_view	P00240	/deals	desktop	spring-trail	26
EV00000069	2025-08-30T15:23:41	C002441	S000434	page_view	P00026	/shop/hydration	tablet	email-june	39
EV00000070	2025-04-29T18:15:08		S008529	add_to_cart	P00101	/shop/sleeping-bags	mobile	social-retarget	63
EV00000071	2025-02-15T11:11:12	C001797	S005797	product_view	P00139	/shop/trail-safety	desktop	social-retarget	68
EV00000072	2025-01-04T07:04:38	C001361	S004116	add_to_cart	P00199	/shop/hydration	mobile	spring-trail	32
EV00000073	2025-08-14T10:24:02	C000174	S008907	product_view	P00141	/shop/climbing-gear	mobile	direct	105
EV00000074	2025-08-01T16:31:26	C000054	S007400	product_view	P00226	/shop/climbing-gear	mobile	organic	154
EV00000075	2025-09-26T23:34:05	C000748	S007172	purchase	P00026	/checkout	desktop	partner-guide	264
EV00000076	2025-11-28T15:56:15		S000133	page_view	P00100	/shop/hydration	mobile	partner-guide	33
EV00000077	2025-07-02T10:14:11	C002272	S005970	product_view	P00197	/shop/outerwear	desktop	organic	147
EV00000078	2025-01-10T11:27:19	C000296	S003616	search	P00138	/	mobile	email-june	13
EV00000079	2025-09-20T00:08:22	C000129	S007224	support_click	P00173	/support	mobile	direct	58
EV00000080	2025-03-20T12:01:12	C001414	S007097	checkout_start	P00105	/checkout	mobile	spring-trail	135
EV00000081	2025-09-30T22:04:59		S004010	product_view	P00215	/shop/trail-safety	mobile	social-retarget	54
EV00000082	2025-03-22T16:34:29	C001688	S001954	page_view	P00029	/shop/hydration	mobile	partner-guide	34
EV00000083	2025-11-05T18:45:10		S006467	page_view	P00071	/shop/outerwear	mobile	direct	11
EV00000084	2025-08-25T14:54:43	C000317	S006552	page_view	P00226	/shop/outerwear	mobile	spring-trail	19
EV00000085	2025-01-04T14:52:28	C001999	S007548	page_view	P00137	/shop/tents	mobile	social-retarget	35
EV00000086	2025-05-31T15:01:37		S007532	search	P00033	/search	mobile	spring-trail	18
EV00000087	2025-04-06T16:04:57		S001091	page_view	P00187	/shop/hydration	mobile	partner-guide	22
EV00000088	2025-12-02T12:14:39		S001760	page_view	P00131	/	desktop	social-retarget	34
EV00000089	2025-01-11T23:44:14	C000485	S007496	add_to_cart	P00015	/shop/hydration	mobile	partner-guide	42
EV00000090	2025-08-18T22:49:03		S004418	search	P00136	/search	mobile	social-retarget	18
EV00000091	2025-02-21T01:36:29	C002365	S002122	product_view	P00191	/shop/outerwear	tablet	partner-guide	95
EV00000092	2025-04-02T20:55:19	C000301	S008549	support_click	P00197	/support	desktop	social-retarget	145
EV00000093	2025-10-15T20:56:26	C002077	S000988	page_view	P00200	/shop/hydration	mobile	spring-trail	15
EV00000094	2025-06-26T15:00:59	C002354	S002271	product_view	P00217	/shop/tents	mobile	organic	135
EV00000095	2025-07-07T09:42:43		S006196	product_view	P00014	/shop/sleeping-bags	mobile	organic	74
EV00000096	2025-06-28T17:41:13		S003321	product_view	P00090	/shop/sleeping-bags	mobile	direct	90
EV00000097	2025-09-30T09:17:17	C000343	S007895	page_view	P00017	/shop/tents	desktop	partner-guide	21
EV00000098	2025-01-16T21:57:56		S006604	add_to_cart	P00230	/shop/sleeping-bags	mobile	email-june	18
EV00000099	2025-11-03T12:04:24	C001482	S003382	support_click	P00123	/support	tablet	social-retarget	105
EV00000100	2025-03-12T14:27:09		S005728	purchase	P00075	/checkout	desktop	spring-trail	387
EV00000101	2025-08-31T16:19:37	C000195	S006098	search	P00151	/	mobile	email-june	8
EV00000102	2025-02-22T22:50:55	C001502	S002680	page_view	P00006	/shop/tents	desktop	email-june	22
EV00000103	2025-10-23T16:01:21	C000832	S003155	page_view	P00164	/deals	tablet	direct	22
EV00000104	2025-01-14T02:56:48		S003963	page_view	P00173	/shop/hydration	mobile	direct	41
EV00000105	2025-06-22T21:11:33		S005583	purchase	P00143	/checkout	desktop	spring-trail	845
EV00000106	2025-07-16T22:11:18	C000603	S002749	product_view	P00028	/shop/trail-safety	mobile	social-retarget	56
EV00000107	2025-02-05T16:50:48	C002493	S004730	page_view	P00068	/	mobile	organic	38
EV00000108	2025-05-22T16:01:04		S001934	page_view	P00012	/shop/climbing-gear	mobile	organic	29
EV00000109	2025-09-24T20:40:14		S004382	page_view	P00176	/shop/outerwear	desktop	direct	22
EV00000110	2025-06-01T09:10:16		S008550	purchase	P00103	/checkout	desktop	organic	472
EV00000111	2025-07-06T18:15:44	C000926	S005539	search	P00034	/search	mobile	partner-guide	27
EV00000112	2025-08-14T22:05:50	C001988	S000620	page_view	P00178	/shop/sleeping-bags	desktop	direct	39
EV00000113	2025-05-19T12:32:50	C002316	S000889	page_view	P00043	/shop/climbing-gear	desktop	spring-trail	31
EV00000114	2025-10-16T02:04:26	C001395	S004211	checkout_start	P00151	/checkout	mobile	organic	137
EV00000115	2025-03-31T21:31:49	C000205	S005630	page_view	P00219	/shop/tents	tablet	organic	60
EV00000116	2025-09-15T13:19:03		S007260	add_to_cart	P00063	/shop/sleeping-bags	mobile	partner-guide	82
EV00000117	2025-01-31T18:01:07	C000351	S001984	search	P00209	/search	mobile	organic	49
EV00000118	2025-10-06T20:04:25	C000014	S003575	page_view	P00199	/	mobile	social-retarget	28
EV00000119	2025-06-06T14:20:50	C001011	S000709	support_click	P00082	/support	mobile	direct	207
EV00000120	2025-10-14T19:02:57	C001397	S000479	support_click	P00060	/support	desktop	social-retarget	89
EV00000121	2025-10-08T19:21:42	C002512	S000649	checkout_start	P00002	/checkout	mobile	social-retarget	240
EV00000122	2025-05-27T17:56:01	C001999	S007548	page_view	P00053	/deals	desktop	organic	106
EV00000123	2025-10-23T20:36:09	C000070	S000585	page_view	P00110	/shop/outerwear	mobile	partner-guide	29
EV00000124	2025-04-04T21:17:04	C001034	S001087	page_view	P00125	/shop/climbing-gear	tablet	organic	28
EV00000125	2025-05-20T14:33:44	C002146	S003896	add_to_cart	P00207	/shop/tents	mobile	direct	68
EV00000126	2025-08-10T13:19:14		S006879	product_view	P00219	/shop/trail-safety	mobile	social-retarget	81
EV00000127	2025-12-21T13:21:38	C000100	S006261	purchase	P00019	/checkout	mobile	direct	140
EV00000128	2025-04-22T10:07:07		S000298	add_to_cart	P00195	/shop/hydration	desktop	organic	38
EV00000129	2025-04-15T13:28:58	C001267	S006536	page_view	P00149	/shop/outerwear	mobile	direct	51
EV00000130	2025-07-11T21:30:18	C001151	S008662	product_view	P00137	/shop/hydration	mobile	partner-guide	36
EV00000131	2025-06-28T17:18:12	C001070	S002119	page_view	P00228	/shop/outerwear	desktop	organic	35
EV00000132	2025-03-22T09:21:45	C000944	S003021	add_to_cart	P00075	/shop/outerwear	desktop	social-retarget	90
EV00000133	2025-10-30T20:14:03		S000916	page_view	P00148	/shop/outerwear	tablet	email-june	22
EV00000134	2025-07-24T20:18:01	C000639	S001676	page_view	P00126	/shop/outerwear	desktop	social-retarget	34
EV00000135	2025-08-29T20:51:35	C002141	S008540	search	P00240	/search	desktop	direct	18
EV00000136	2025-04-14T17:15:31	C000970	S006273	add_to_cart	P00240	/shop/sleeping-bags	tablet	direct	73
EV00000137	2025-02-09T21:04:44	C001115	S006404	page_view	P00081	/	mobile	organic	23
EV00000138	2025-06-12T11:32:37	C001238	S002745	add_to_cart	P00025	/shop/outerwear	tablet	social-retarget	97
EV00000139	2025-07-13T12:33:49		S000628	page_view	P00010	/deals	desktop	organic	23
EV00000140	2025-12-06T15:20:35	C000540	S002278	page_view	P00042	/shop/climbing-gear	mobile	organic	27
EV00000141	2025-10-16T21:41:44	C000368	S000107	add_to_cart	P00139	/shop/climbing-gear	mobile	spring-trail	35
EV00000142	2025-06-26T16:55:36		S005381	product_view	P00221	/shop/climbing-gear	tablet	organic	108
EV00000143	2025-11-07T14:48:54		S003161	search	P00067	/search	mobile	social-retarget	47
EV00000144	2025-08-21T20:20:22	C000344	S001206	product_view	P00206	/shop/outerwear	mobile	direct	48
EV00000145	2025-02-27T10:40:03		S000109	search	P00087	/search	mobile	organic	15
EV00000146	2025-10-06T20:34:03	C001402	S008648	add_to_cart	P00111	/shop/outerwear	mobile	organic	66
EV00000147	2025-05-07T22:19:38	C000500	S007249	product_view	P00232	/shop/outerwear	mobile	social-retarget	41
EV00000148	2025-06-30T11:34:04		S004358	page_view	P00006	/shop/hydration	mobile	direct	10
EV00000149	2025-09-27T21:56:03	C000812	S008876	page_view	P00038	/shop/hydration	mobile	email-june	29
EV00000150	2025-09-05T21:59:44		S007992	product_view	P00226	/shop/hydration	mobile	organic	71
EV00000151	2025-12-25T18:40:53		S000095	page_view	P00176	/deals	desktop	partner-guide	60
EV00000152	2025-10-24T09:06:31	C000130	S007565	page_view	P00184	/	tablet	spring-trail	27
EV00000153	2025-04-06T11:33:00		S005064	page_view	P00202	/	mobile	spring-trail	24
EV00000154	2025-02-20T18:35:49	C001726	S003925	page_view	P00016	/deals	desktop	organic	23
EV00000155	2025-04-27T19:03:15	C001563	S002569	purchase	P00189	/checkout	mobile	direct	191
EV00000156	2025-12-19T18:05:38	C000638	S008426	page_view	P00231	/shop/outerwear	desktop	direct	33
EV00000157	2025-02-14T22:24:12		S003124	checkout_start	P00172	/checkout	desktop	social-retarget	237
EV00000158	2025-03-20T00:37:14		S003631	page_view	P00040	/shop/tents	desktop	email-june	47
EV00000159	2025-09-05T12:48:57		S008723	product_view	P00111	/shop/sleeping-bags	mobile	social-retarget	75
EV00000160	2025-03-02T18:42:18		S006440	support_click	P00057	/support	mobile	organic	58
EV00000161	2025-11-18T14:02:48	C002147	S005621	search	P00046	/	desktop	direct	29
EV00000162	2025-09-18T08:17:11	C002377	S004948	page_view	P00088	/	desktop	spring-trail	14
EV00000163	2025-07-20T16:22:44	C002439	S008991	search	P00048	/search	tablet	social-retarget	29
EV00000164	2025-02-14T17:06:46	C002104	S008978	product_view	P00104	/shop/hydration	mobile	email-june	75
EV00000165	2025-04-06T15:02:32	C002191	S000441	product_view	P00226	/shop/tents	desktop	direct	76
EV00000166	2025-11-27T12:33:49		S004713	product_view	P00063	/shop/trail-safety	desktop	social-retarget	216
EV00000167	2025-05-16T22:31:59		S008168	search	P00086	/search	tablet	organic	18
EV00000168	2025-02-24T20:20:33		S006981	add_to_cart	P00012	/shop/sleeping-bags	mobile	direct	83
EV00000169	2025-08-13T11:05:38		S005257	page_view	P00113	/shop/climbing-gear	mobile	social-retarget	13
EV00000170	2025-02-05T18:49:54		S001715	purchase	P00065	/checkout	mobile	organic	348
EV00000171	2025-06-09T10:44:38	C002316	S000652	search	P00190	/	mobile	organic	10
EV00000172	2025-09-29T15:15:23	C000405	S007921	page_view	P00210	/shop/tents	mobile	partner-guide	5
EV00000173	2025-04-04T13:35:47		S006123	page_view	P00097	/deals	mobile	partner-guide	8
EV00000174	2025-08-20T16:49:17	C001254	S002339	page_view	P00115	/shop/outerwear	desktop	social-retarget	23
EV00000175	2025-02-25T12:25:46		S001861	page_view	P00092	/shop/climbing-gear	mobile	email-june	20
EV00000176	2025-10-16T20:07:50		S007784	add_to_cart	P00151	/shop/hydration	desktop	organic	50
EV00000177	2025-11-21T09:24:43		S000672	page_view	P00099	/shop/tents	mobile	organic	24
EV00000178	2025-07-19T16:01:10	C002104	S008978	page_view	P00160	/shop/sleeping-bags	desktop	social-retarget	53
EV00000179	2025-12-01T19:53:22	C001162	S006104	product_view	P00016	/shop/climbing-gear	mobile	spring-trail	69
EV00000180	2025-05-08T15:09:20		S000665	search	P00048	/search	tablet	direct	58
EV00000181	2025-03-31T17:00:22	C001590	S007330	page_view	P00097	/shop/hydration	desktop	direct	31
EV00000182	2025-06-24T05:27:37	C000709	S005650	add_to_cart	P00050	/shop/climbing-gear	mobile	email-june	72
EV00000183	2025-05-13T12:23:54		S006397	purchase	P00235	/checkout	mobile	organic	151
EV00000184	2025-06-01T16:04:33	C000655	S008128	search	P00238	/	mobile	social-retarget	19
EV00000185	2025-04-15T18:12:18	C001603	S006301	page_view	P00128	/	desktop	direct	29
EV00000186	2025-07-07T16:59:05	C001330	S006413	add_to_cart	P00068	/shop/climbing-gear	tablet	email-june	100
EV00000187	2025-07-21T14:42:09	C000203	S002281	support_click	P00139	/support	desktop	direct	115
EV00000188	2025-02-08T11:42:31	C001814	S001516	product_view	P00107	/shop/sleeping-bags	desktop	social-retarget	66
EV00000189	2025-11-30T12:00:18	C000990	S004170	support_click	P00127	/support	mobile	spring-trail	34
EV00000190	2025-02-25T15:57:19		S001726	page_view	P00138	/shop/sleeping-bags	mobile	direct	18
EV00000191	2025-07-31T21:30:22	C000413	S001073	page_view	P00107	/shop/hydration	mobile	direct	27
EV00000192	2025-08-04T06:06:42		S006442	support_click	P00116	/support	mobile	direct	85
EV00000193	2025-07-31T17:28:08	C001582	S004082	page_view	P00185	/shop/hydration	mobile	email-june	21
EV00000194	2025-08-23T17:27:09		S005467	support_click	P00148	/support	desktop	organic	38
EV00000195	2025-01-06T09:51:43		S006589	search	P00087	/	mobile	social-retarget	14
EV00000196	2025-11-02T09:44:24	C000556	S008634	product_view	P00166	/shop/hydration	mobile	direct	130
EV00000197	2025-03-12T16:30:33	C001852	S000661	product_view	P00057	/shop/hydration	mobile	email-june	63
EV00000198	2025-11-03T07:19:47	C001252	S000770	product_view	P00235	/shop/hydration	mobile	social-retarget	88
EV00000199	2025-03-04T23:41:45		S003340	page_view	P00019	/	desktop	email-june	41
EV00000200	2025-01-08T18:41:07		S007284	add_to_cart	P00144	/shop/climbing-gear	tablet	direct	102
EV00000201	2025-12-18T14:28:36		S005552	add_to_cart	P00088	/shop/outerwear	desktop	social-retarget	165
EV00000202	2025-06-28T16:00:25		S004855	page_view	P00039	/deals	desktop	spring-trail	39
EV00000203	2025-02-14T11:10:06		S007455	search	P00002	/search	mobile	email-june	26
EV00000204	2025-12-01T21:08:54	C001717	S004687	add_to_cart	P00188	/shop/sleeping-bags	mobile	organic	28
EV00000205	2025-08-22T17:05:26	C001170	S004357	product_view	P00090	/shop/hydration	mobile	social-retarget	108
EV00000206	2025-11-11T10:52:03	C000815	S002647	add_to_cart	P00032	/shop/climbing-gear	tablet	email-june	68
EV00000207	2025-09-02T20:17:32	C001333	S002258	checkout_start	P00172	/checkout	mobile	direct	143
EV00000208	2025-06-15T20:03:58	C000090	S004810	add_to_cart	P00066	/shop/tents	mobile	organic	19
EV00000209	2025-03-15T21:13:44		S005254	page_view	P00076	/shop/hydration	mobile	direct	19
EV00000210	2025-08-09T16:19:39	C000486	S003895	checkout_start	P00036	/checkout	mobile	spring-trail	132
EV00000211	2025-02-11T10:21:48		S002109	support_click	P00212	/support	desktop	direct	433
EV00000212	2025-02-12T13:31:39		S002344	page_view	P00123	/shop/sleeping-bags	desktop	spring-trail	203
EV00000213	2025-02-18T14:04:29		S008875	add_to_cart	P00190	/shop/hydration	desktop	direct	67
EV00000214	2025-01-18T14:10:46	C001038	S001959	page_view	P00233	/shop/outerwear	mobile	partner-guide	19
EV00000215	2025-12-06T10:24:03	C000531	S004463	add_to_cart	P00198	/shop/tents	mobile	social-retarget	36
EV00000216	2025-05-13T09:57:58	C000598	S005284	product_view	P00228	/shop/climbing-gear	mobile	direct	72
EV00000217	2025-11-09T16:26:33		S005687	support_click	P00051	/support	desktop	spring-trail	108
EV00000218	2025-07-07T19:54:49		S003197	product_view	P00224	/shop/sleeping-bags	tablet	partner-guide	279
EV00000219	2025-02-24T08:14:44	C001147	S007362	search	P00143	/search	desktop	spring-trail	43
EV00000220	2025-09-15T23:07:06		S008511	add_to_cart	P00214	/shop/sleeping-bags	mobile	direct	17
EV00000221	2025-08-23T17:42:47		S007909	add_to_cart	P00113	/shop/hydration	tablet	spring-trail	60
EV00000222	2025-10-16T12:30:56	C001406	S004932	page_view	P00184	/shop/outerwear	desktop	partner-guide	79
EV00000223	2025-10-07T18:44:14	C001183	S001435	page_view	P00069	/shop/tents	desktop	partner-guide	28
EV00000224	2025-05-26T17:36:50	C002005	S007248	product_view	P00004	/shop/tents	mobile	direct	38
EV00000225	2025-07-20T08:38:24	C000877	S005810	page_view	P00033	/shop/climbing-gear	desktop	partner-guide	28
EV00000226	2025-01-31T10:19:37	C000532	S003283	purchase	P00191	/checkout	mobile	spring-trail	200
EV00000227	2025-12-16T16:35:42	C001123	S006761	page_view	P00105	/shop/tents	desktop	direct	43
EV00000228	2025-04-29T14:53:43	C001906	S001629	support_click	P00175	/support	mobile	organic	105
EV00000229	2025-06-15T21:50:23		S004291	search	P00152	/	desktop	partner-guide	23
EV00000230	2025-06-26T22:53:47		S003219	add_to_cart	P00030	/shop/sleeping-bags	desktop	spring-trail	69
EV00000231	2025-02-04T22:04:03	C002466	S008172	page_view	P00087	/shop/sleeping-bags	mobile	social-retarget	19
EV00000232	2025-02-28T07:43:03	C001894	S004491	add_to_cart	P00222	/shop/tents	tablet	organic	25
EV00000233	2025-05-11T20:59:56	C001024	S004785	support_click	P00024	/support	mobile	organic	124
EV00000234	2025-10-06T17:29:37	C000005	S008224	support_click	P00074	/support	desktop	direct	54
EV00000235	2025-01-17T08:27:33	C000255	S008664	search	P00009	/search	tablet	partner-guide	28
EV00000236	2025-01-09T16:53:43	C001266	S003542	search	P00040	/	mobile	direct	59
EV00000237	2025-03-09T16:17:02	C001134	S003305	add_to_cart	P00158	/shop/tents	mobile	partner-guide	22
EV00000238	2025-06-28T17:06:19		S001065	support_click	P00103	/support	mobile	email-june	80
EV00000239	2025-04-16T12:07:10	C001644	S006328	support_click	P00087	/support	desktop	organic	161
EV00000240	2025-01-09T13:59:30	C000495	S008392	page_view	P00128	/shop/tents	desktop	spring-trail	30
EV00000241	2025-08-27T16:21:55		S006785	page_view	P00026	/shop/tents	desktop	social-retarget	33
EV00000242	2025-10-19T07:34:45	C000417	S003310	product_view	P00222	/shop/trail-safety	mobile	partner-guide	86
EV00000243	2025-10-23T15:55:07	C001215	S000371	page_view	P00126	/	mobile	social-retarget	12
EV00000244	2025-01-14T21:56:51	C001184	S005139	add_to_cart	P00233	/shop/outerwear	mobile	direct	47
EV00000245	2025-07-24T20:58:06	C000620	S004923	add_to_cart	P00035	/shop/climbing-gear	tablet	social-retarget	44
EV00000246	2025-01-10T19:59:02	C002030	S004044	product_view	P00189	/shop/outerwear	mobile	direct	81
EV00000247	2025-09-15T09:47:16	C000283	S004285	product_view	P00144	/shop/hydration	mobile	social-retarget	55
EV00000248	2025-10-17T15:22:26		S002735	page_view	P00210	/shop/climbing-gear	desktop	social-retarget	18
EV00000249	2025-09-25T05:02:13	C001016	S007343	page_view	P00039	/shop/sleeping-bags	mobile	direct	28
EV00000250	2025-06-04T08:37:19		S005324	product_view	P00148	/shop/hydration	mobile	partner-guide	88
EV00000251	2025-02-08T09:12:32		S003886	page_view	P00188	/shop/outerwear	mobile	email-june	9
EV00000252	2025-03-14T23:18:38	C002095	S000719	add_to_cart	P00117	/shop/climbing-gear	mobile	social-retarget	103
EV00000253	2025-12-22T13:37:07	C000979	S002792	page_view	P00028	/shop/sleeping-bags	tablet	email-june	37
EV00000254	2025-08-24T22:45:34	C001657	S008665	product_view	P00158	/shop/tents	mobile	organic	133
EV00000255	2025-11-06T22:43:42	C000482	S000360	product_view	P00199	/shop/sleeping-bags	mobile	spring-trail	73
EV00000256	2025-07-16T15:18:59	C001577	S001725	product_view	P00194	/shop/climbing-gear	mobile	social-retarget	533
EV00000257	2025-11-10T16:52:51		S004909	product_view	P00198	/shop/tents	desktop	social-retarget	40
EV00000258	2025-07-15T12:01:11	C000044	S007131	page_view	P00093	/shop/tents	mobile	social-retarget	23
EV00000259	2025-11-20T10:27:59		S002661	checkout_start	P00183	/checkout	desktop	organic	295
EV00000260	2025-07-01T13:03:17		S006359	product_view	P00210	/shop/sleeping-bags	mobile	direct	128
EV00000261	2025-09-01T09:44:14		S001917	search	P00080	/	desktop	direct	29
EV00000262	2025-12-21T22:53:36		S004439	checkout_start	P00015	/checkout	desktop	organic	217
EV00000263	2025-05-22T15:09:54	C001226	S004093	search	P00175	/	desktop	email-june	38
EV00000264	2025-10-22T10:29:06		S002248	search	P00089	/search	mobile	direct	46
EV00000265	2025-09-18T15:41:23	C000849	S000263	add_to_cart	P00189	/shop/sleeping-bags	mobile	organic	37
EV00000266	2025-09-20T11:32:07	C002085	S002260	page_view	P00079	/shop/sleeping-bags	mobile	email-june	7
EV00000267	2025-01-06T09:13:38	C000713	S006070	product_view	P00086	/shop/climbing-gear	tablet	partner-guide	155
EV00000268	2025-02-19T15:46:10	C002082	S008900	product_view	P00111	/shop/outerwear	mobile	organic	316
EV00000269	2025-09-30T20:30:08	C002006	S001578	add_to_cart	P00236	/shop/climbing-gear	mobile	social-retarget	20
EV00000270	2025-09-01T20:32:15	C001228	S006895	search	P00148	/search	desktop	social-retarget	37
